Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
06:54:22.186 PM 02/18/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.150000,0.940000,1.710000,3.000000,101.000000,1,0,0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.008926,-0.019333,0.000000,0.000000,0.001000,0.005000,FlatInitial,ResetBack,0,0.000000
06:54:22.286 PM 02/18/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,346.142578,-184.716797,4000.000000,4000.000000,Speed,Speed,-0.150000,0.930000,1.720000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.008926,-0.019333,0.000000,0.000000,0.002000,0.010000,FlatInitial,ResetBack,0,0.000000
06:54:22.387 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,2242.675781,-1905.322266,4000.000000,4000.000000,Speed,Speed,-0.160000,0.930000,1.660000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.006271,0.019012,0.000000,-0.009583,-0.017883,0.000000,-0.035000,0.029000,0.003000,FlatInitial,ResetBack,0,0.000000
06:54:22.487 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3653.906250,-3459.375000,4000.000000,4000.000000,Speed,Speed,-0.180000,0.960000,1.750000,3.000000,103.000000,1,0,-0.000000,0.000000,1,-0.006271,0.019012,0.000000,-0.009583,-0.017883,0.000000,0.016000,-0.023000,-0.059000,FlatInitial,ResetBack,0,0.000000
06:54:22.588 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3976.904297,-3919.482422,4000.000000,4000.000000,Speed,Speed,-0.170000,0.950000,1.850000,3.000000,103.000000,1,0,-0.000000,0.000000,1,0.019806,-0.000351,0.000000,-0.008987,-0.017548,0.000000,-0.035000,0.023000,0.006000,FlatInitial,ResetBack,0,0.000000
06:54:22.688 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3915.673828,-3919.482422,4000.000000,4000.000000,Speed,Speed,-0.170000,0.950000,1.850000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.002365,0.002899,0.000000,-0.008545,-0.016266,0.000000,-0.019000,-0.044000,-0.153000,FlatInitial,ResetBack,0,0.000000
06:54:22.788 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3822.509766,-3785.449219,4000.000000,4000.000000,Speed,Speed,-0.120000,0.980000,1.880000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.002365,0.002899,0.000000,-0.008545,-0.016266,0.000000,-0.046000,0.088000,-0.042000,FlatInitial,ResetBack,0,0.000000
06:54:22.888 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3834.814453,-3723.779297,4000.000000,4000.000000,Speed,Speed,-0.130000,1.000000,1.950000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.002609,0.023987,0.000000,-0.008850,-0.015594,0.000000,-0.048000,0.011000,-0.061000,FlatInitial,ResetBack,0,0.000000
06:54:22.990 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3898.095703,-3814.746094,4000.000000,4000.000000,Speed,Speed,-0.140000,1.010000,1.990000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.012741,0.000000,-0.009201,-0.015259,0.000000,-0.019000,-0.030000,0.043000,FlatInitial,ResetBack,1,0.000000
06:54:23.090 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3953.759766,-3894.580078,4000.000000,4000.000000,Speed,Speed,-0.130000,0.980000,1.980000,3.000000,101.000000,1,0,-0.000000,0.000000,1,0.002884,0.012543,0.000000,-0.009079,-0.014679,0.000000,0.008000,0.004000,0.104000,FlatInitial,ResetForward,1,0.000000
06:54:23.190 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3977.929687,-3947.753906,4000.000000,4000.000000,Speed,Speed,-0.140000,0.990000,2.000000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.004715,0.001480,0.000000,-0.009262,-0.014694,0.000000,-0.004000,-0.016000,-0.003000,FlatInitial,ResetForward,1,0.000000
06:54:23.290 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3977.929687,-3969.433594,4000.000000,4000.000000,Speed,Speed,-0.140000,1.000000,2.080000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.033554,-0.010269,0.000000,-0.010391,-0.015182,0.000000,-0.041000,0.045000,0.006000,FlatInitial,ResetForward,1,0.000000
06:54:23.390 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3984.082031,-3979.101562,4000.000000,4000.000000,Speed,Speed,-0.060000,0.950000,2.060000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.058273,0.007309,0.000000,-0.012726,-0.015076,0.000000,-0.054000,-0.016000,0.123000,FlatInitial,ResetForward,1,0.000000
06:54:23.491 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3993.750000,-3989.501953,4000.000000,4000.000000,Speed,Speed,-0.140000,0.960000,2.100000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.008804,0.015533,0.000000,-0.013504,-0.014618,0.000000,-0.037000,0.050000,0.016000,FlatInitial,ResetForward,1,0.000000
06:54:23.592 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4001.660156,-3994.775391,4000.000000,4000.000000,Speed,Speed,-0.150000,0.940000,2.190000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.039261,0.041656,0.000000,-0.015045,-0.012619,0.000000,-0.018000,0.038000,-0.020000,FlatInitial,ResetForward,1,0.000000
06:54:23.692 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4003.417969,-3999.023437,4000.000000,4000.000000,Speed,Speed,-0.140000,0.960000,2.210000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.008011,0.044418,0.000000,-0.015152,-0.010391,0.000000,-0.029000,-0.022000,0.078000,FlatInitial,ResetForward,0,0.000000
06:54:23.793 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4006.787109,-4005.322266,4000.000000,4000.000000,Speed,Speed,-0.140000,0.960000,2.250000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.011108,0.062729,0.000000,-0.015793,-0.007553,0.000000,-0.012000,-0.010000,0.067000,FlatInitial,Reset,0,0.000000
06:54:23.894 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4011.621094,-4010.156250,4000.000000,4000.000000,Speed,Speed,-0.120000,0.960000,2.320000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.004623,0.071747,0.000000,-0.015991,-0.004135,0.000000,-0.039000,0.015000,-0.007000,FlatInitial,Reset,0,0.000000
06:54:23.994 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4013.818359,-4011.767578,4000.000000,4000.000000,Speed,Speed,-0.120000,0.990000,2.300000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.029739,0.083817,0.000000,-0.017029,-0.000122,0.000000,0.009000,0.034000,-0.111000,FlatInitial,Hold,0,0.000000
06:54:24.094 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4013.378906,-4005.615234,4000.000000,4000.000000,Speed,Speed,-0.170000,1.000000,2.350000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.038651,0.079514,0.000000,-0.018768,0.004059,0.000000,0.000000,-0.060000,0.083000,FlatInitial,Hold,0,0.000000
06:54:24.194 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4009.716797,-4004.296875,4000.000000,4000.000000,Speed,Speed,-0.100000,0.980000,2.310000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.002655,0.067474,0.000000,-0.019653,0.007660,0.000000,-0.009000,0.000000,0.041000,FlatInitial,Hold,0,0.000000
06:54:24.294 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4003.271484,-4006.933594,4000.000000,4000.000000,Speed,Speed,-0.120000,1.010000,2.350000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.057175,0.000000,-0.020126,0.011429,0.000000,-0.012000,-0.001000,-0.004000,FlatInitial,Hold,0,0.000000
06:54:24.394 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4001.806641,-4009.570312,4000.000000,4000.000000,Speed,Speed,-0.130000,1.020000,2.300000,3.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.039825,0.000000,-0.020035,0.013885,0.000000,0.015000,-0.052000,0.086000,FlatInitial,Hold,0,0.000000
06:54:24.494 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4001.220703,-4007.080078,4000.000000,4000.000000,Speed,Speed,-0.140000,1.010000,2.230000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.018356,0.019104,0.000000,-0.020508,0.015244,0.000000,-0.031000,-0.005000,0.010000,FlatInitial,Hold,0,0.000000
