Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,Yaw,Roll,Pitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput
09:52:31.500 AM 02/06/2016,Autonomous Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.000000,0.000000,0.000000,1.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:31.599 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,135834.000000,0,0,0.000000,-0.000000,0
09:52:31.699 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,102.000000,0,0,0.000000,-0.000000,0
09:52:31.800 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,102.000000,0,0,0.000000,-0.000000,0
09:52:31.899 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_AIAverageBits.vi->WPI_AnalogModuleOpen.vi->WPI_AnalogChannelOpen.vi->WPI_GyroAnalogOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:32.000 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_AIAverageBits.vi->WPI_AnalogModuleOpen.vi->WPI_AnalogChannelOpen.vi->WPI_GyroAnalogOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.101 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_AIAverageBits.vi->WPI_AnalogModuleOpen.vi->WPI_AnalogChannelOpen.vi->WPI_GyroAnalogOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:32.200 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadLoopTiming.vi->WPI_DigitalModuleOpen.vi->WPI_MotorControlOpen&ConfigurePWM.vi->WPI_MotorControlOpen VictorSP.vi->WPI_RobotDriveOpen4MotorWithVictorSP.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.300 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.401 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadLoopTiming.vi->WPI_DigitalModuleOpen.vi->WPI_MotorControlOpen&ConfigurePWM.vi->WPI_MotorControlOpen VictorSP.vi->WPI_RobotDriveOpen4MotorWithVictorSP.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.501 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.602 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.702 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:32.801 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:32.901 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:33.002 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_DIOReadOutputEnable.vi->WPI_DigitalModuleDIOAllocator.vi->WPI_DigitalInputOpen.vi->Begin.vi->Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:33.103 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,104.000000,0,0,0.000000,-0.000000,0
09:52:33.204 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,103.000000,0,0,0.000000,-0.000000,0
09:52:33.304 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:33.405 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:33.508 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,103.000000,0,0,0.000000,-0.000000,0
09:52:33.610 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:33.711 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,100.000000,0,0,0.000000,-0.000000,0
09:52:33.814 AM 02/06/2016,Teleop Disabled,0,TRUE,-44007,<LOCATION>navX Library v2.lvlib:Z900_navX_RefNum_Get.vi<CALLSTACK>navX Library v2.lvlib:Z900_navX_RefNum_Get.vi< <Begin.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:33.914 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870009->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030002,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
09:52:34.014 AM 02/06/2016,Teleop Disabled,0,TRUE,-63195,Read/Write Control in FPGA_UtilitiesRead LocalTime.vi:870006->navX Library v2.lvlib:Z900_navX_Internal_ProcessingLoop.vi:2030001,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.000000,0.000000,0.000000,101.000000,0,0,0.000000,-0.000000,0
