Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
07:15:54.937 PM 02/16/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.120000,0.830000,0.950000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.112656,40.987000,0.000000,-0.001000,-0.001000,0.004000,FlatInitial,Hold,0
07:15:55.037 PM 02/16/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,10.693359,0.000000,0.000000,Speed,Speed,0.150000,0.820000,0.750000,0.000000,23175.000000,1,0,-0.000000,0.000000,1,0.000763,-0.010162,0.000000,-19.112137,40.986938,0.000000,-0.001000,0.042000,-0.006000,FlatInitial,ResetBack,0
07:15:55.138 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,-5.859375,0.000000,0.000000,Speed,Speed,0.040000,0.860000,0.820000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.017746,-0.011810,0.000000,-19.111771,40.986862,0.000000,-0.040000,-0.031000,-0.004000,FlatInitial,ResetBack,0
07:15:55.239 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.010000,0.820000,0.830000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.010788,-0.015686,0.000000,-19.111343,40.985764,0.000000,0.003000,0.045000,-0.038000,FlatInitial,ResetBack,0
07:15:55.340 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.840000,0.910000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.005066,0.005325,0.000000,-19.111145,40.985886,0.000000,-0.008000,-0.046000,0.002000,FlatInitial,ResetBack,0
07:15:55.440 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.010000,0.830000,0.820000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.002441,0.000000,0.000000,-19.111069,40.985489,0.000000,0.011000,0.018000,0.021000,FlatInitial,ResetBack,0
07:15:55.540 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.810000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,-0.001297,0.000000,-19.110947,40.985657,0.000000,0.013000,-0.008000,0.027000,FlatInitial,ResetBack,0
07:15:55.641 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.820000,0.860000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110947,40.985641,0.000000,-0.014000,-0.012000,0.031000,FlatInitial,ResetBack,1
07:15:55.742 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.840000,0.850000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110947,40.985641,0.000000,0.004000,-0.011000,0.003000,FlatInitial,ResetForward,1
07:15:55.843 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,0.830000,0.840000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-19.110947,40.985382,0.000000,0.002000,-0.001000,-0.010000,FlatInitial,ResetForward,1
