Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right
09:13:32.451 AM 04/14/2016,Teleop Enabled,10,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.066284,-0.078949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,2.330000,-0.080000,-0.920000,-0.103225,ResetBack,0.656494,-0.000049,ResetBack,-12.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:32.551 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.012833,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.066284,-0.078949,0.000000,0.000000,0.000000,0.000000,-0.014000,0.040000,0.068000,2.330000,-0.080000,-0.920000,-0.103597,ResetBack,0.590820,-0.000049,ResetBack,-12.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:32.651 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.019250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.067780,-0.080658,0.000000,0.029266,-0.012924,0.000000,0.021000,-0.026000,-0.042000,2.350000,-0.100000,-0.890000,-0.137368,ResetBack,-0.850586,-0.000049,ResetBack,278.000000,-0.250000,LowGoal,45.000000,-2181.818182,Speed,255.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:32.751 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.019250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.067337,-0.080673,0.000000,-0.010391,-0.010132,0.000000,-0.006000,0.033000,0.009000,2.390000,-0.120000,-0.920000,-0.119725,ResetBack,-1.898926,-0.000049,ResetBack,3695.000000,-0.250000,LowGoal,555.000000,-2181.818182,Speed,900.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:32.851 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.019250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.067337,-0.080673,0.000000,-0.010391,-0.010132,0.000000,-0.023000,0.039000,0.084000,2.400000,-0.130000,-0.820000,-0.112248,Reset,-1.989990,0.000000,ResetBack,8341.000000,-0.250000,LowGoal,1155.000000,-2181.818182,Speed,1432.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:32.951 AM 04/14/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.019250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.066528,-0.080963,0.000000,0.020248,-0.041595,0.000000,0.018000,-0.019000,0.020000,2.410000,-0.120000,-0.980000,-0.124249,Hold,0.001709,0.000000,ResetBack,13357.000000,-0.250000,LowGoal,1672.500000,-2181.818182,Speed,1875.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.051 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.025667,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.066528,-0.080963,0.000000,0.020248,-0.041595,0.000000,0.163000,-0.141000,-0.002000,2.450000,-0.130000,-1.030000,-0.124249,Hold,0.001709,0.000000,ResetBack,19048.000000,-0.250000,LowGoal,2032.500000,-2181.818182,Speed,2160.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.151 AM 04/14/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.025667,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.070633,-0.087143,0.000000,0.100174,-0.162628,0.000000,0.045000,-0.136000,-0.134000,2.430000,-0.130000,-0.930000,-0.116107,Hold,0.001709,0.000000,ResetBack,25297.000000,-0.250000,LowGoal,2272.500000,-2181.818182,Speed,2197.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.254 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.025667,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.077423,-0.100204,0.000000,0.106400,-0.202042,0.000000,-0.033000,0.042000,0.016000,2.480000,-0.130000,-1.090000,-0.133998,Hold,0.001709,0.000000,ResetBack,25297.000000,-0.250000,LowGoal,2227.500000,-2181.818182,Speed,2160.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.355 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.025667,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.082092,-0.108536,0.000000,0.080353,-0.139496,0.000000,-0.142000,0.056000,0.002000,2.470000,-0.140000,-1.000000,-0.134749,Hold,0.001709,0.000000,ResetBack,30065.000000,-0.250000,LowGoal,2152.500000,-2181.818182,Speed,2137.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.455 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.082642,-0.115540,0.000000,-0.032059,-0.152267,0.000000,-0.075000,0.069000,0.118000,2.420000,-0.130000,-1.040000,-0.144822,Hold,0.001709,0.000000,ResetBack,32554.000000,-0.250000,LowGoal,2145.000000,-2181.818182,Speed,2137.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.555 AM 04/14/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.079010,-0.121475,0.000000,-0.095886,-0.112991,0.000000,-0.037000,0.049000,0.045000,2.480000,-0.140000,-0.960000,-0.133354,Hold,0.001709,0.000000,ResetBack,34091.000000,-0.250000,LowGoal,2160.000000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.655 AM 04/14/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.075974,-0.125641,0.000000,0.006638,-0.050232,0.000000,0.061000,-0.062000,-0.072000,2.550000,-0.140000,-0.810000,-0.128383,Hold,0.001709,0.000000,ResetBack,34833.000000,-0.250000,LowGoal,2160.000000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.755 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.077179,-0.127945,0.000000,0.000000,-0.032379,0.000000,-0.060000,0.013000,0.139000,2.530000,-0.150000,-0.710000,-0.133086,Hold,0.001709,0.000000,Reset,35058.000000,2.000000,LowGoal,2160.000000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.856 AM 04/14/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.075912,-0.128571,0.000000,-0.044159,-0.012848,0.000000,-0.051000,0.077000,0.124000,2.450000,-0.150000,-0.830000,-0.134542,Hold,0.001709,0.000000,Hold,-181.000000,2.000000,LowGoal,2160.000000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:33.956 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.072205,-0.127869,0.000000,0.000000,0.015701,0.000000,-0.007000,0.092000,0.032000,2.360000,-0.150000,-1.080000,-0.149121,Hold,0.001709,0.000000,Hold,-181.000000,2.000000,LowGoal,2160.000000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:34.057 AM 04/14/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.032083,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.071899,-0.125549,0.000000,0.000610,0.079498,0.000000,0.076000,-0.035000,-0.086000,2.350000,-0.150000,-1.140000,-0.158237,Hold,0.001709,0.000000,Hold,-181.000000,2.000000,LowGoal,2167.500000,-2181.818182,Speed,2152.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:34.158 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.038500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.074203,-0.119400,0.000000,0.068222,0.136734,0.000000,0.052000,-0.054000,-0.186000,2.390000,-0.150000,-1.140000,-0.143506,Hold,0.001709,0.000000,Hold,-178.000000,2.000000,LowGoal,2167.500000,-2181.818182,Speed,2152.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:34.258 AM 04/14/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.038500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.079636,-0.112457,0.000000,0.145935,0.146637,0.000000,0.148000,0.008000,-0.063000,2.410000,-0.160000,-1.030000,-0.141104,Hold,0.001709,0.000000,Hold,-176.000000,2.000000,LowGoal,2160.000000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
09:13:34.358 AM 04/14/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.038500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.091293,-0.113388,0.000000,0.286377,-0.028976,0.000000,0.194000,0.021000,-0.025000,2.460000,-0.160000,-0.810000,-0.142894,Hold,0.001709,0.000000,Hold,-174.000000,2.000000,LowGoal,2160.000000,-2181.818182,Speed,2152.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
