Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right
04:43:31.841 PM 04/02/2016,Teleop Enabled,10,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.782471,5.084000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.002000,0.013000,-0.150000,-0.260000,2.410000,0.156499,ResetBack,1.864014,-0.000049,ResetBack,-26999.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:31.941 PM 04/02/2016,Teleop Enabled,11,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.089833,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.782516,5.084030,0.000000,0.002380,-0.000595,0.000000,-0.026000,-0.059000,0.049000,-0.150000,-0.270000,2.430000,0.151868,ResetBack,0.097168,-0.000049,ResetBack,-24372.000000,-0.250000,LowGoal,22.500000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.043 PM 04/02/2016,Teleop Enabled,11,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.782516,5.083282,0.000000,0.003860,-0.022812,0.000000,-0.053000,-0.039000,0.038000,-0.140000,-0.310000,2.420000,0.152578,ResetBack,0.097168,-0.000049,ResetBack,-19412.000000,-0.250000,LowGoal,495.000000,-2181.818182,Speed,52.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.143 PM 04/02/2016,Teleop Enabled,9,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.782181,5.081390,0.000000,-0.008255,-0.035782,0.000000,-0.022000,-0.041000,-0.014000,-0.150000,-0.320000,2.450000,0.176015,ResetBack,0.096436,-0.000049,ResetBack,-14475.000000,-0.250000,LowGoal,945.000000,-2181.818182,Speed,82.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.243 PM 04/02/2016,Teleop Enabled,5,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.141166,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.782562,5.080597,0.000000,0.024353,0.000000,0.000000,-0.051000,0.019000,0.049000,-0.150000,-0.310000,2.450000,0.192329,Reset,0.096436,0.000000,ResetBack,-14475.000000,-0.250000,LowGoal,1410.000000,-2181.818182,Speed,112.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.343 PM 04/02/2016,Teleop Enabled,10,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.134750,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.782684,5.080750,0.000000,-0.024017,0.010422,0.000000,-0.122000,0.015000,-0.063000,-0.170000,-0.360000,2.460000,0.171333,Hold,0.849854,0.000000,ResetBack,-10253.000000,-0.250000,LowGoal,1807.500000,-2181.818182,Speed,300.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.445 PM 04/02/2016,Teleop Enabled,8,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.128333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.780502,5.083099,0.000000,-0.051407,0.059326,0.000000,0.000000,-0.121000,-0.036000,-0.090000,-0.240000,2.450000,0.251004,Hold,0.955078,0.000000,ResetBack,-7593.000000,-0.250000,LowGoal,2107.500000,-2181.818182,Speed,1560.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.546 PM 04/02/2016,Teleop Enabled,10,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.128333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.780869,5.083206,0.000000,0.022583,-0.032318,0.000000,0.015000,-0.061000,-0.038000,-0.170000,-0.330000,2.490000,0.167742,Hold,0.934570,0.000000,ResetBack,-6292.000000,-0.250000,LowGoal,2182.500000,-2181.818182,Speed,2085.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.647 PM 04/02/2016,Teleop Enabled,9,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.128333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.783936,5.076004,0.000000,0.049789,-0.211319,0.000000,-0.001000,-0.249000,0.095000,-0.140000,-0.330000,2.410000,0.201049,Hold,0.934570,0.000000,ResetBack,-4320.000000,-0.250000,LowGoal,2167.500000,-2181.818182,Speed,2235.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
04:43:32.747 PM 04/02/2016,Teleop Enabled,10,TRUE,-44087,NetComm_CAN_Receive.vi:5470001<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470001      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,-0.000000,0.000000,-0.000000,-0.128333,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,-2.718739,-0.741261,TRUE,3.786789,5.063538,0.000000,0.103027,-0.370285,0.000000,0.073000,-0.265000,0.319000,-0.130000,-0.310000,2.410000,0.211993,Hold,0.934570,0.000000,ResetBack,-3634.000000,-0.250000,LowGoal,2152.500000,-2181.818182,Speed,2190.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
