Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right
07:15:14.704 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.147583,-0.000000,0.070583,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.002960,-0.001663,0.000000,0.000000,0.000000,0.000000,-0.001000,-0.002000,0.022000,-0.570000,0.370000,2.660000,0.226982,ResetBack,0.000000,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:14.804 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.147583,-0.000000,0.070583,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.002960,-0.001663,0.000000,0.000000,0.000000,0.000000,0.005000,-0.003000,-0.009000,-0.570000,0.370000,2.660000,0.234562,ResetBack,0.000000,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:14.904 PM 04/04/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.044917,-0.000000,-0.077000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.003540,-0.001602,0.000000,0.019943,0.000000,0.000000,-0.006000,0.043000,-0.004000,-0.500000,0.510000,2.660000,0.282882,ResetBack,-1.028320,-0.000049,ResetBack,5222.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.005 PM 04/04/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.051333,-0.000000,-0.089833,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.004013,-0.001175,0.000000,0.007401,0.017822,0.000000,0.038000,0.096000,0.056000,-0.590000,0.400000,2.660000,0.217373,ResetBack,-1.028320,-0.000049,ResetBack,5222.000000,-0.250000,LowGoal,52.500000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.108 PM 04/04/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.089833,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.005875,0.001633,0.000000,0.045319,0.050919,0.000000,0.007000,0.000000,0.111000,-0.680000,0.470000,2.680000,0.159569,Reset,-1.028320,0.000000,ResetBack,6514.000000,-0.250000,LowGoal,570.000000,-2181.818182,Speed,22.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.209 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.089833,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.007370,0.003326,0.000000,0.001053,0.025513,0.000000,-0.070000,0.031000,0.024000,-0.650000,0.450000,2.690000,0.203448,Hold,1.107178,0.000000,ResetBack,6521.000000,-0.250000,LowGoal,1140.000000,-2181.818182,Speed,45.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.309 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.089833,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.007828,0.004623,0.000000,0.000000,0.036957,0.000000,0.010000,0.099000,-0.021000,-0.660000,0.460000,2.650000,0.188360,Hold,0.968506,0.000000,ResetBack,6577.000000,-0.250000,LowGoal,1515.000000,-2181.818182,Speed,105.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.410 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.005890,0.007034,0.000000,-0.052994,0.032639,0.000000,0.076000,-0.068000,0.081000,-0.640000,0.330000,2.710000,0.197782,Hold,0.919434,0.000000,ResetBack,6589.000000,-0.250000,LowGoal,1890.000000,-2181.818182,Speed,697.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.510 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.004303,0.006241,0.000000,-0.016983,-0.042618,0.000000,-0.040000,-0.007000,-0.002000,-0.650000,0.360000,2.660000,0.188914,Hold,0.919189,0.000000,ResetBack,7005.000000,-0.250000,LowGoal,2107.500000,-2181.818182,Speed,1972.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.611 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001938,0.007172,0.000000,-0.077774,0.100143,0.000000,-0.059000,0.305000,-0.206000,-0.650000,0.310000,2.650000,0.168899,Hold,0.919189,0.000000,ResetBack,7400.000000,-0.250000,LowGoal,2145.000000,-2181.818182,Speed,2212.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.711 PM 04/04/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.003296,0.019638,0.000000,-0.124130,0.327118,0.000000,-0.105000,0.209000,-0.199000,-0.650000,0.290000,2.680000,0.173880,Hold,0.918945,0.000000,ResetBack,7400.000000,-0.250000,LowGoal,2145.000000,-2181.818182,Speed,2130.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.811 PM 04/04/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.009872,0.043167,0.000000,-0.120850,0.591003,0.000000,-0.024000,0.355000,-0.264000,-0.630000,0.330000,2.560000,0.167635,Hold,0.918945,0.000000,ResetBack,7649.000000,-0.250000,LowGoal,2130.000000,-2181.818182,Speed,2032.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:15.911 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.018997,0.090622,0.000000,-0.192780,0.879684,0.000000,-0.183000,-0.013000,-0.019000,-0.640000,0.360000,2.580000,0.162451,Hold,0.918945,0.000000,ResetBack,7808.000000,-0.250000,LowGoal,2115.000000,-2181.818182,Speed,2025.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:16.011 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.031143,0.133057,0.000000,-0.238998,0.784302,0.000000,0.046000,-0.269000,0.209000,-0.640000,0.340000,2.660000,0.182084,Hold,0.918945,0.000000,Reset,7827.000000,2.000000,LowGoal,2085.000000,-2181.818182,Speed,2047.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:16.112 PM 04/04/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.042282,0.165146,0.000000,-0.191986,0.570404,0.000000,0.133000,-0.064000,0.127000,-0.640000,0.360000,2.660000,0.177812,Hold,0.918945,0.000000,Hold,-80.000000,2.000000,LowGoal,2085.000000,-2181.818182,Speed,2062.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:16.212 PM 04/04/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.049683,0.193390,0.000000,-0.153519,0.602478,0.000000,-0.136000,0.153000,-0.289000,-0.640000,0.350000,2.610000,0.198949,Hold,0.918945,0.000000,Hold,-80.000000,2.000000,LowGoal,2100.000000,-2181.818182,Speed,2070.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
07:15:16.312 PM 04/04/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.096250,-0.000000,-0.096250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.059891,0.228516,0.000000,-0.210007,0.789780,0.000000,-0.007000,0.162000,-0.084000,-0.640000,0.380000,2.540000,0.199954,Hold,0.918945,0.000000,Hold,-82.000000,2.000000,LowGoal,2100.000000,-2181.818182,Speed,2070.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
