Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right
08:34:59.758 PM 04/05/2016,Teleop Enabled,11,TRUE,-44005,<LOCATION>WPI_CameraWait for Raw Image String.vi:6640001<CALLSTACK>WPI_CameraWait for Raw Image String.vi:6640001< <WPI_CameraGet Image.vi< <Vision Processing.vi< <Robot Main.vi,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.003769,0.022995,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,-0.050000,0.220000,2.320000,-0.198539,ResetBack,0.000000,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:34:59.860 PM 04/05/2016,Teleop Enabled,11,TRUE,-1074396154,,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.003769,0.022995,0.000000,0.000000,0.000000,0.000000,0.119000,0.057000,0.118000,-0.050000,0.220000,2.320000,-0.197486,ResetBack,0.000000,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:34:59.960 PM 04/05/2016,Teleop Enabled,10,TRUE,-44005,<LOCATION>WPI_CameraWait for Raw Image String.vi:6640001<CALLSTACK>WPI_CameraWait for Raw Image String.vi:6640001< <WPI_CameraGet Image.vi< <Vision Processing.vi< <Robot Main.vi,-0.000000,-0.025667,-0.000000,-0.038500,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.004547,0.024536,0.000000,0.006897,0.051437,0.000000,0.018000,-0.044000,-0.072000,-0.040000,0.260000,2.310000,-0.189138,ResetBack,0.000000,-0.000049,ResetBack,1600.000000,-0.250000,LowGoal,112.500000,-2181.818182,Speed,30.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.060 PM 04/05/2016,Teleop Enabled,11,TRUE,-1074396154,,-0.000000,-0.077000,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.005798,0.026138,0.000000,0.041306,0.019608,0.000000,-0.002000,0.077000,0.011000,0.120000,0.380000,2.340000,-0.052816,ResetBack,0.000000,-0.000049,ResetBack,4973.000000,-0.250000,LowGoal,780.000000,-2181.818182,Speed,592.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.160 PM 04/05/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,-0.102666,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.006226,0.028809,0.000000,0.015274,0.043747,0.000000,0.060000,0.039000,-0.059000,0.020000,0.200000,2.310000,-0.113670,Reset,0.000000,0.000000,ResetBack,9491.000000,-0.250000,LowGoal,1440.000000,-2181.818182,Speed,1320.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.259 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.115500,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.006775,0.029633,0.000000,-0.006805,0.001953,0.000000,0.004000,-0.023000,0.040000,0.020000,0.310000,2.280000,-0.125585,Hold,0.000000,0.000000,ResetBack,14018.000000,-0.250000,LowGoal,2062.500000,-2181.818182,Speed,1942.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.360 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.115500,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.006409,0.030289,0.000000,0.016922,0.007874,0.000000,0.068000,-0.044000,0.237000,0.010000,0.330000,2.310000,-0.140332,Hold,0.000000,0.000000,ResetBack,20458.000000,-0.250000,LowGoal,2272.500000,-2181.818182,Speed,2220.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.460 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.115500,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.006836,0.029007,0.000000,0.000000,-0.054291,0.000000,-0.016000,0.018000,0.018000,0.030000,0.310000,2.270000,-0.120910,Hold,0.000000,0.000000,ResetBack,20458.000000,-0.250000,LowGoal,2250.000000,-2181.818182,Speed,2085.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.561 PM 04/05/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,-0.115500,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.004852,0.027481,0.000000,-0.078049,-0.028259,0.000000,-0.015000,0.000000,-0.075000,0.010000,0.600000,2.270000,-0.131079,Hold,0.000000,0.000000,ResetBack,27105.000000,-0.250000,LowGoal,2182.500000,-2181.818182,Speed,2122.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.661 PM 04/05/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.115500,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000519,0.026367,0.000000,-0.121216,-0.024689,0.000000,-0.002000,-0.065000,-0.015000,0.010000,0.560000,2.260000,-0.105700,Hold,0.000000,0.000000,ResetBack,31335.000000,-0.250000,LowGoal,2167.500000,-2181.818182,Speed,2122.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.761 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.173250,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.006409,0.024429,0.000000,-0.125198,-0.045486,0.000000,0.005000,-0.101000,-0.042000,-0.050000,0.600000,2.230000,-0.152409,Hold,0.000000,0.000000,ResetBack,33063.000000,-0.250000,LowGoal,2182.500000,-2181.818182,Speed,2160.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.862 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.179666,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.007858,0.020096,0.000000,-0.011581,-0.108032,0.000000,-0.014000,-0.090000,-0.026000,-0.100000,0.770000,2.180000,-0.188170,Hold,0.000000,0.000000,ResetBack,34742.000000,-0.250000,LowGoal,2190.000000,-2181.818182,Speed,2137.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:00.962 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.179666,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.010208,0.014267,0.000000,-0.103775,-0.109894,0.000000,-0.161000,0.021000,0.018000,-0.070000,0.610000,2.250000,-0.183395,Hold,0.000000,0.000000,ResetBack,36018.000000,-0.250000,LowGoal,2190.000000,-2181.818182,Speed,2115.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:01.063 PM 04/05/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,-0.179666,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.017853,0.009674,0.000000,-0.158539,-0.082184,0.000000,0.021000,-0.028000,-0.053000,-0.070000,0.590000,2.300000,-0.198663,Hold,0.000000,0.000000,Reset,36018.000000,2.000000,LowGoal,2182.500000,-2181.818182,Speed,2107.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:01.162 PM 04/05/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.179666,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.029083,0.005676,0.000000,-0.253220,-0.023651,0.000000,-0.232000,0.154000,0.031000,-0.080000,0.630000,2.330000,-0.196560,Hold,0.000000,0.000000,Hold,36.000000,2.000000,HighGoal,2167.500000,-3272.727273,Speed,2107.500000,-3272.727273,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
08:35:01.263 PM 04/05/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,-0.179666,-0.000000,-0.160416,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.047211,0.009445,0.000000,-0.413376,0.147675,0.000000,0.094000,0.166000,0.246000,-0.070000,0.530000,2.370000,-0.190728,Hold,0.000000,0.000000,Hold,-114.000000,2.000000,HighGoal,2175.000000,-3272.727273,Speed,2122.500000,-3272.727273,Speed,Off,Off,0.000000,FALSE,0,,,,,0.000000,0.000000
