Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
08:20:53.650 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.201965,-0.731094,0.000000,0.000000,0.000000,0.000000,0.000000,0.003000,0.003000,-0.070000,0.120000,1.480000,-0.114035,ResetBack,2.390625,-0.000049,ResetBack,-31563.000000,-0.300000,LowGoal,0.000000,-1454.545455,Speed,0.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:53.750 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.202423,-0.731232,0.000000,0.023361,-0.002579,0.000000,-0.009000,-0.034000,-0.031000,-0.070000,0.100000,1.450000,-0.106805,ResetBack,2.142822,-0.000049,ResetBack,-31563.000000,-0.300000,LowGoal,7.500000,-1454.545455,Speed,15.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:53.850 PM 03/22/2016,Autonomous Enabled,8,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.202911,-0.731476,0.000000,-0.009155,0.002274,0.000000,-0.033000,0.006000,-0.052000,-0.070000,0.060000,1.410000,-0.109986,ResetBack,0.460449,-0.000049,ResetBack,-23567.000000,-0.300000,LowGoal,450.000000,-1454.545455,Speed,405.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:53.951 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.203064,-0.731796,0.000000,0.016129,0.000000,0.000000,-0.078000,0.003000,0.095000,-0.090000,0.150000,1.430000,-0.131241,ResetBack,0.210205,-0.000049,ResetBack,-13486.000000,-0.300000,LowGoal,1200.000000,-1454.545455,Speed,1237.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.050 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.203308,-0.731033,0.000000,0.003326,0.023285,0.000000,0.037000,-0.040000,0.057000,-0.090000,0.150000,1.530000,-0.124541,Reset,-0.234619,0.000000,ResetBack,-4776.000000,-0.300000,LowGoal,1597.500000,-1454.545455,Speed,1650.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.151 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.204361,-0.729630,0.000000,0.024353,0.026825,0.000000,0.125000,-0.068000,0.015000,-0.080000,0.140000,1.550000,-0.127154,Hold,0.328857,0.000000,ResetBack,-1083.000000,-0.300000,LowGoal,1455.000000,-1454.545455,Speed,1447.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.251 PM 03/22/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.205978,-0.728683,0.000000,0.026962,0.000000,0.000000,0.065000,0.002000,-0.031000,-0.080000,0.160000,1.530000,-0.121316,Hold,0.344482,0.000000,ResetBack,-1083.000000,-0.300000,LowGoal,1335.000000,-1454.545455,Speed,1305.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.352 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.207108,-0.728622,0.000000,0.024384,-0.002548,0.000000,-0.008000,0.018000,0.054000,-0.090000,0.110000,1.530000,-0.134559,Hold,0.344482,0.000000,ResetBack,4.000000,-0.300000,LowGoal,1357.500000,-1454.545455,Speed,1395.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.453 PM 03/22/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.208511,-0.728821,0.000000,0.022949,-0.002762,0.000000,-0.066000,0.004000,0.013000,-0.090000,0.020000,1.560000,-0.137609,Hold,0.344482,0.000000,ResetBack,24.000000,-0.300000,LowGoal,1417.500000,-1454.545455,Speed,1447.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.553 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.208969,-0.729111,0.000000,0.029617,-0.019608,0.000000,-0.111000,0.058000,0.057000,-0.080000,0.000000,1.540000,-0.140480,Hold,0.344482,0.000000,ResetBack,24.000000,-0.300000,LowGoal,1402.500000,-1454.545455,Speed,1410.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.653 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.210770,-0.730194,0.000000,0.055374,-0.031967,0.000000,0.021000,-0.036000,0.148000,-0.080000,-0.040000,1.520000,-0.152825,Hold,0.344482,0.000000,ResetBack,37.000000,-0.300000,LowGoal,1380.000000,-1454.545455,Speed,1372.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.753 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.212494,-0.731842,0.000000,0.027145,-0.032150,0.000000,0.023000,0.062000,-0.005000,-0.080000,-0.190000,1.590000,-0.155721,Hold,0.344482,0.000000,ResetBack,335.000000,-0.300000,LowGoal,1387.500000,-1454.545455,Speed,1395.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.853 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.213974,-0.732452,0.000000,0.034225,0.000000,0.000000,-0.055000,-0.037000,0.033000,-0.080000,-0.070000,1.570000,-0.159363,Hold,0.344482,0.000000,ResetBack,335.000000,-0.300000,LowGoal,1402.500000,-1454.545455,Speed,1417.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:54.954 PM 03/22/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.215179,-0.732346,0.000000,0.036697,-0.003922,0.000000,0.035000,-0.082000,-0.100000,-0.070000,-0.070000,1.570000,-0.161136,Hold,0.344482,0.000000,Reset,640.000000,2.000000,LowGoal,1395.000000,-1454.545455,Speed,1402.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:55.055 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.216125,-0.733017,0.000000,0.002106,-0.014572,0.000000,0.039000,-0.006000,-0.006000,-0.070000,-0.010000,1.570000,-0.149858,Hold,0.344482,0.000000,Hold,-430.000000,2.000000,LowGoal,1387.500000,-1454.545455,Speed,1402.500000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:55.158 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.215912,-0.733963,0.000000,-0.007324,-0.032043,0.000000,0.056000,-0.038000,0.049000,-0.070000,-0.090000,1.590000,-0.152309,Hold,0.344482,0.000000,Hold,-288.000000,2.000000,LowGoal,1387.500000,-1454.545455,Speed,1410.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,WAIT 1500,WAIT
08:20:55.258 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.216415,-0.736969,0.000000,0.011703,-0.066147,0.000000,-0.010000,-0.003000,-0.029000,-0.070000,-0.040000,1.550000,-0.153793,Hold,0.344482,0.000000,Hold,-238.000000,2.000000,LowGoal,1395.000000,-1454.545455,Speed,1410.000000,-1454.545455,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,DRIVE_STRAIGHT_NAVX 200 5000,DRIVE_STRAIGHT_NAVX
08:20:55.359 PM 03/22/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_43.bee,-0.000000,-0.256666,0.000000,0.352916,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Disabled,0.000000,3.587500,-6.127500,TRUE,0.217270,-0.740997,0.000000,0.045013,-0.067596,0.000000,0.559000,0.089000,-0.181000,0.000000,-0.040000,1.540000,0.000375,Hold,0.344482,0.000000,Hold,-238.000000,2.000000,LowGoal,1387.500000,2909.090909,Speed,1410.000000,2909.090909,Speed,Off,Off,0.000000,FALSE,44,Read: /home/lvuser/scripts/auto_44.bee,File good!,DRIVE_STRAIGHT_NAVX 200 5000,DRIVE_STRAIGHT_NAVX
