Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AngeMotorState,Photoeye,VisionXOutput,gyro180,RollerArmDesired,RollerArmActual,ShooterArmDesired,ShooterArmActual, DefenseDetectorController,DefenseDetectorRaw,IsStalled,Auto0CurrentFile,Auto1FileStatus,Auto2CurrentCommand,Auto3TrimmedCommand
06:53:23.775 PM 03/24/2016,Teleop Enabled,10,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,1.130000,1.070000,2.630000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.056625,0.393616,0.000000,0.000000,-0.006000,0.004000,FlatInitial,ResetBack,0,0.000000,1.130000,-0.200000,-3799.000000,-0.300000,132958.000000,0,1,1,,,,
06:53:23.876 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-3.369141,-2.343750,4000.000000,4000.000000,Speed,Speed,1.120000,1.040000,2.630000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.001312,0.027344,0.000000,0.056229,0.394775,0.000000,0.028000,-0.025000,0.057000,FlatInitial,ResetBack,0,0.000000,1.120000,-0.200000,-4203.000000,-0.300000,132990.000000,0,1,1,,,,
06:53:23.977 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-20.214844,-20.507812,4000.000000,4000.000000,Speed,Speed,1.120000,1.010000,2.610000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.020004,0.010345,0.000000,0.055969,0.395523,0.000000,-0.004000,-0.011000,0.066000,FlatInitial,ResetBack,0,0.000000,1.120000,-0.200000,-8234.000000,-0.300000,138060.000000,0,1,1,,,,
06:53:24.077 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-32.666016,-37.207031,4000.000000,4000.000000,Speed,Speed,1.120000,1.000000,2.580000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.023682,0.067291,0.000000,0.055054,0.397171,0.000000,-0.004000,-0.011000,0.066000,FlatInitial,ResetBack,0,0.000000,1.120000,-0.200000,-8370.000000,-0.300000,145208.000000,0,1,1,,,,
06:53:24.177 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-44.677734,-47.021484,4000.000000,4000.000000,Speed,Speed,1.120000,1.090000,2.460000,Suck,103.000000,1,0,-0.000000,0.000000,1,0.001556,0.110550,0.000000,0.054794,0.401657,0.000000,0.069000,-0.030000,0.038000,FlatInitial,ResetBack,0,0.000000,1.120000,0.000000,-8377.000000,-0.300000,152188.000000,0,1,1,,,,
06:53:24.277 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-53.466797,-58.300781,4000.000000,4000.000000,Speed,Speed,1.120000,1.020000,2.520000,Suck,103.000000,1,0,-0.000000,0.000000,1,-0.011749,0.111786,0.000000,0.055359,0.407822,0.000000,0.069000,-0.030000,0.038000,FlatInitial,ResetBack,0,0.000000,1.120000,0.000000,-1.000000,-0.300000,157680.000000,0,1,0,,,,
06:53:24.378 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-60.205078,-64.013672,-6000.000000,-6000.000000,Speed,Speed,1.110000,1.110000,2.550000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.016434,0.090637,0.000000,0.054550,0.413040,0.000000,-0.010000,0.033000,-0.001000,FlatInitial,ResetBack,0,0.000000,1.110000,0.000000,-1.000000,-0.300000,157680.000000,0,1,0,,,,
06:53:24.478 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-62.255859,-66.064453,-6000.000000,-6000.000000,Speed,Speed,1.110000,1.140000,2.560000,Suck,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.100037,0.000000,0.054382,0.417999,0.000000,0.110000,0.061000,-0.059000,FlatInitial,ResetBack,0,0.000000,1.110000,0.000000,-1.000000,-0.300000,162132.000000,0,1,0,,,,
06:53:24.580 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-34.570312,-37.939453,-6000.000000,-6000.000000,Speed,Speed,1.110000,1.140000,2.560000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.000595,0.045654,0.000000,0.054504,0.421036,0.000000,-0.020000,-0.062000,-0.082000,FlatInitial,ResetBack,0,0.000000,1.110000,0.000000,-1.000000,-0.300000,164021.000000,0,1,0,,,,
06:53:24.680 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-1.904297,-4.980469,-6000.000000,-6000.000000,Speed,Speed,1.110000,1.110000,2.540000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.008972,-0.004257,0.000000,0.054718,0.421021,0.000000,0.020000,-0.019000,0.046000,FlatInitial,ResetBack,0,0.000000,1.110000,0.000000,-1.000000,-0.300000,165584.000000,0,1,0,,,,
06:53:24.780 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,17.431641,18.750000,-6000.000000,-6000.000000,Speed,Speed,1.110000,1.090000,2.560000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.000000,-0.002350,0.000000,0.054733,0.420929,0.000000,-0.044000,-0.022000,0.047000,FlatInitial,ResetBack,0,0.000000,1.110000,0.000000,-1.000000,-0.300000,167516.000000,0,1,0,,,,
06:53:24.881 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,34.863281,34.863281,-6000.000000,-6000.000000,Speed,Speed,1.110000,1.070000,2.550000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.021652,-0.007141,0.000000,0.055222,0.420654,0.000000,0.017000,-0.030000,0.035000,FlatInitial,ResetBack,0,0.000000,1.110000,0.000000,-1.000000,-0.300000,168519.000000,0,1,0,,,,
06:53:24.981 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,48.046875,44.970703,-6000.000000,-6000.000000,Speed,Speed,1.100000,1.110000,2.500000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.041138,0.025192,0.000000,0.057098,0.421509,0.000000,0.058000,0.081000,-0.035000,FlatInitial,ResetBack,0,0.000000,1.100000,0.000000,-1.000000,-0.300000,168519.000000,0,1,1,,,,
06:53:25.082 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,58.154297,54.931641,4000.000000,4000.000000,Speed,Speed,1.090000,1.220000,2.530000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.056412,0.024277,0.000000,0.060165,0.423157,0.000000,-0.007000,0.016000,0.099000,FlatInitial,Reset,0,0.000000,1.090000,0.000000,-1.000000,0.000000,169892.000000,0,1,0,,,,
06:53:25.182 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,62.402344,58.740234,-6000.000000,-6000.000000,Speed,Speed,1.090000,1.230000,2.570000,Suck,104.000000,1,0,-0.000000,0.000000,1,0.085907,0.026901,0.000000,0.062958,0.424271,0.000000,-0.023000,0.094000,-0.089000,FlatInitial,Hold,0,0.000000,1.090000,0.000000,-1.000000,0.000000,-107.000000,0,1,0,,,,
06:53:25.282 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,40.429688,35.742188,-6000.000000,-6000.000000,Speed,Speed,1.070000,1.110000,2.590000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.012695,-0.015564,0.000000,0.066177,0.425278,0.000000,-0.052000,-0.041000,0.095000,FlatInitial,Hold,0,0.000000,1.070000,0.000000,-1.000000,0.000000,-232.000000,0,1,0,,,,
06:53:25.382 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,41.308594,39.697266,-6000.000000,-6000.000000,Speed,Speed,1.050000,1.210000,2.550000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.012695,-0.015564,0.000000,0.066177,0.425278,0.000000,-0.065000,-0.002000,0.073000,FlatInitial,Hold,0,0.000000,1.050000,0.000000,-1.000000,0.000000,-220.000000,0,1,0,,,,
06:53:25.482 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,52.587891,50.390625,-6000.000000,-6000.000000,Speed,Speed,1.020000,1.210000,2.570000,Suck,103.000000,1,0,-0.000000,0.000000,1,0.052841,-0.111237,0.000000,0.068970,0.416748,0.000000,0.070000,-0.070000,-0.124000,FlatInitial,Hold,0,0.000000,1.020000,0.000000,-1.000000,0.000000,-217.000000,0,1,0,,,,
06:53:25.582 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,62.695312,56.982422,-6000.000000,-6000.000000,Speed,Speed,1.030000,1.290000,2.480000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.052841,-0.111237,0.000000,0.068970,0.416748,0.000000,0.125000,-0.068000,-0.111000,FlatInitial,Hold,0,0.000000,1.030000,0.000000,-1.000000,0.000000,-213.000000,0,1,0,,,,
06:53:25.683 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,69.140625,63.720703,-6000.000000,-6000.000000,Speed,Speed,1.020000,1.300000,2.440000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.088211,-0.119232,0.000000,0.072891,0.410965,0.000000,-0.136000,0.156000,-0.134000,FlatInitial,Hold,0,0.000000,1.020000,0.000000,-1.000000,0.000000,-213.000000,0,1,0,,,,
06:53:25.783 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,73.388672,69.140625,-6000.000000,-6000.000000,Speed,Speed,1.010000,1.350000,2.430000,Suck,103.000000,1,0,-0.000000,0.000000,1,0.103455,-0.108185,0.000000,0.076935,0.406464,0.000000,-0.056000,-0.134000,0.069000,FlatInitial,Hold,0,0.000000,1.010000,0.000000,-1.000000,0.000000,-199.000000,0,1,0,,,,
06:53:25.883 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,77.636719,73.388672,-6000.000000,-6000.000000,Speed,Speed,1.010000,1.280000,2.470000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.083267,-0.098709,0.000000,0.081223,0.401611,0.000000,0.030000,-0.035000,-0.066000,FlatInitial,Hold,0,0.000000,1.010000,0.000000,-1.000000,0.000000,-197.000000,0,1,0,,,,
06:53:25.983 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,80.859375,76.757812,-6000.000000,-6000.000000,Speed,Speed,1.000000,1.240000,2.560000,Suck,101.000000,1,0,-0.000000,0.000000,1,0.049103,-0.106903,0.000000,0.084930,0.395660,0.000000,-0.085000,0.028000,-0.028000,FlatInitial,Hold,0,0.000000,1.000000,0.000000,-1.000000,0.000000,-196.000000,0,1,0,,,,
06:53:26.084 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,83.056641,79.394531,-6000.000000,-6000.000000,Speed,Speed,1.010000,1.160000,2.610000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.095215,-0.133774,0.000000,0.087936,0.389893,0.000000,-0.030000,-0.034000,-0.063000,FlatInitial,Hold,0,0.000000,1.010000,0.000000,-1.000000,0.000000,-196.000000,0,1,0,,,,
06:53:26.184 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,85.400391,81.298828,-6000.000000,-6000.000000,Speed,Speed,1.010000,1.210000,2.660000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.048065,-0.219772,0.000000,0.091354,0.380707,0.000000,-0.003000,-0.065000,0.120000,FlatInitial,Hold,0,0.000000,1.010000,0.000000,-1.000000,0.000000,-196.000000,0,1,0,,,,
06:53:26.286 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,87.158203,83.642578,-6000.000000,-6000.000000,Speed,Speed,1.000000,1.270000,2.810000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.019760,-0.269318,0.000000,0.093384,0.368057,0.000000,-0.054000,-0.220000,-0.070000,FlatInitial,Hold,0,0.000000,1.000000,0.000000,-1.000000,0.000000,-196.000000,0,1,0,,,,
06:53:26.386 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,88.623047,84.960938,-6000.000000,-6000.000000,Speed,Speed,0.990000,1.320000,2.520000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.025070,-0.456619,0.000000,0.092941,0.348923,0.000000,0.005000,-0.067000,-0.237000,FlatInitial,Hold,0,0.000000,0.990000,0.000000,-1.000000,0.000000,-196.000000,0,1,0,,,,
06:53:26.488 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,89.941406,86.279297,-6000.000000,-6000.000000,Speed,Speed,0.980000,1.290000,2.270000,Suck,102.000000,1,0,-0.000000,0.000000,1,0.000000,-0.429459,0.000000,0.092468,0.326187,0.000000,0.007000,-0.120000,-0.191000,FlatInitial,Hold,0,0.000000,0.980000,0.000000,-1.000000,0.000000,-193.000000,0,1,0,,,,
06:53:26.588 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,90.966797,87.451172,-6000.000000,-6000.000000,Speed,Speed,0.960000,1.490000,2.130000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.047119,-0.564407,0.000000,0.091446,0.300842,0.000000,0.120000,-0.100000,-0.144000,FlatInitial,Hold,0,0.000000,0.960000,0.000000,-1.000000,0.000000,-192.000000,0,1,0,,,,
06:53:26.688 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,91.699219,88.476562,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.420000,2.290000,Suck,100.000000,1,0,-0.000000,0.000000,1,-0.082397,-0.749359,0.000000,0.089432,0.262711,0.000000,-0.206000,-0.321000,-0.013000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,-1.000000,0.000000,-189.000000,0,1,0,,,,
06:53:26.788 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,92.285156,89.355469,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.460000,2.280000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.077881,-0.627075,0.000000,0.084518,0.227310,0.000000,-0.031000,-0.034000,-0.023000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,-1.000000,0.000000,-189.000000,0,1,0,,,,
06:53:26.888 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,92.871094,89.794922,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.410000,2.320000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.032913,-0.660767,0.000000,0.081650,0.195190,0.000000,-0.037000,-0.259000,-0.061000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,-1.000000,0.000000,-188.000000,0,1,0,,,,
06:53:26.989 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,93.310547,90.527344,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.360000,2.270000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.120239,-0.612335,0.000000,0.076599,0.159149,0.000000,0.081000,-0.111000,-0.104000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,-1.000000,0.000000,-188.000000,0,1,0,,,,
06:53:27.089 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,93.750000,90.966797,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.320000,2.360000,Suck,103.000000,1,0,-0.000000,0.000000,1,-0.107010,-0.688980,0.000000,0.071243,0.125381,0.000000,0.014000,0.082000,0.007000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,-1.000000,0.000000,-188.000000,0,1,0,,,,
06:53:27.189 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.042969,91.406250,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.330000,2.400000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.085968,0.092957,0.000000,0.065720,0.120407,0.000000,-0.070000,-0.447000,-0.095000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,-1.000000,0.000000,-187.000000,0,1,0,,,,
06:53:27.289 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.189453,91.699219,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.330000,2.420000,Suck,105.000000,1,0,-0.000000,0.000000,1,-0.107040,0.116257,0.000000,0.060196,0.121170,0.000000,-0.034000,-0.381000,-0.120000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,-1.000000,0.000000,-187.000000,0,1,0,,,,
06:53:27.389 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.482422,91.992188,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.310000,2.440000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.106628,0.055237,0.000000,0.054031,0.122711,0.000000,-0.059000,-0.169000,0.021000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-187.000000,0,1,0,,,,
06:53:27.490 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.628906,92.285156,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.280000,2.470000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.100708,-0.019638,0.000000,0.049957,0.123047,0.000000,-0.252000,0.011000,0.193000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-186.000000,0,1,0,,,,
06:53:27.590 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.775391,92.285156,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.260000,2.410000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.106003,0.019699,0.000000,0.043793,0.124634,0.000000,0.013000,0.634000,0.049000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-186.000000,0,1,0,,,,
06:53:27.690 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.921875,92.431641,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.190000,2.520000,Suck,103.000000,1,0,-0.000000,0.000000,1,-0.111221,0.025345,0.000000,0.037766,0.126297,0.000000,-0.079000,-0.070000,0.123000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-186.000000,0,1,0,,,,
06:53:27.791 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,94.921875,92.871094,-6000.000000,-6000.000000,Speed,Speed,0.960000,1.160000,2.520000,Suck,100.000000,1,0,-0.000000,0.000000,1,-0.133255,0.047241,0.000000,0.031082,0.128052,0.000000,0.018000,-0.161000,-0.052000,FlatInitial,Hold,0,0.000000,0.960000,0.000000,0.000000,0.000000,-186.000000,0,1,0,,,,
06:53:27.891 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.068359,93.017578,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.180000,2.590000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.107742,0.059525,0.000000,0.022934,0.131638,0.000000,-0.036000,-0.508000,-0.022000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:27.991 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.068359,93.017578,-6000.000000,-6000.000000,Speed,Speed,0.960000,1.160000,2.640000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.103012,0.047104,0.000000,0.016815,0.134262,0.000000,-0.124000,-0.721000,0.014000,FlatInitial,Hold,0,0.000000,0.960000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.092 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.214844,93.164062,-6000.000000,-6000.000000,Speed,Speed,0.960000,1.130000,2.600000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.104294,0.108093,0.000000,0.012207,0.136581,0.000000,-0.061000,-0.338000,-0.018000,FlatInitial,Hold,0,0.000000,0.960000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.193 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.361328,93.310547,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.130000,2.600000,Suck,103.000000,1,0,-0.000000,0.000000,1,-0.128494,0.049500,0.000000,0.006592,0.138657,0.000000,0.063000,-0.177000,-0.071000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.293 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.361328,93.310547,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.140000,2.610000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.108841,0.068832,0.000000,0.001541,0.140854,0.000000,0.165000,-0.006000,-0.177000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.393 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.361328,93.457031,-6000.000000,-6000.000000,Speed,Speed,0.960000,1.120000,2.720000,Suck,101.000000,1,0,-0.000000,0.000000,1,-0.061615,0.116226,0.000000,-0.003418,0.144424,0.000000,-0.087000,-0.739000,0.019000,FlatInitial,Hold,0,0.000000,0.960000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.494 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.361328,93.457031,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.110000,2.610000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.074173,-0.030960,0.000000,-0.007599,0.145233,0.000000,-0.104000,-0.300000,0.037000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.594 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.507812,93.603516,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.120000,2.670000,Suck,103.000000,1,0,-0.000000,0.000000,1,-0.074554,0.029327,0.000000,-0.010376,0.146271,0.000000,-0.124000,-0.134000,0.002000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.695 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.361328,93.603516,-6000.000000,-6000.000000,Speed,Speed,0.940000,1.020000,2.700000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.083389,0.077499,0.000000,-0.015533,0.149307,0.000000,0.102000,-0.145000,-0.031000,FlatInitial,Hold,0,0.000000,0.940000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.795 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.214844,93.750000,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.100000,2.680000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.094528,0.116089,0.000000,-0.019516,0.150833,0.000000,0.122000,0.135000,-0.095000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.895 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.068359,93.750000,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.100000,2.660000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.077286,0.123108,0.000000,-0.024261,0.152969,0.000000,-0.160000,-0.704000,0.022000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:28.996 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.068359,93.896484,-6000.000000,-6000.000000,Speed,Speed,0.960000,1.070000,2.800000,Suck,103.000000,1,0,-0.000000,0.000000,1,-0.089355,0.121490,0.000000,-0.029205,0.155594,0.000000,-0.145000,-0.538000,0.138000,FlatInitial,Hold,0,0.000000,0.960000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
06:53:29.097 PM 03/24/2016,Teleop Enabled,10,FALSE,0,NO ERROR,95.068359,93.896484,-6000.000000,-6000.000000,Speed,Speed,0.950000,1.090000,2.780000,Suck,102.000000,1,0,-0.000000,0.000000,1,-0.081863,0.059616,0.000000,-0.033920,0.158447,0.000000,-0.090000,-0.109000,0.062000,FlatInitial,Hold,0,0.000000,0.950000,0.000000,0.000000,0.000000,-185.000000,0,1,0,,,,
