Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command
08:16:53.552 PM 03/25/2016,Autonomous Enabled,10,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000000,0.000305,0.000000,0.000000,0.000000,0.000000,0.002000,-0.001000,0.012000,-0.830000,0.070000,1.190000,-2.073611,ResetBack,0.000000,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:53.651 PM 03/25/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000000,0.000305,0.000000,0.000000,0.000000,0.000000,-0.003000,-0.044000,0.009000,-0.840000,0.070000,1.190000,-2.076747,ResetBack,-0.135498,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,0.000000,Speed,0.000000,0.000000,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:53.751 PM 03/25/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000000,0.000046,0.000000,0.000000,-0.006256,0.000000,0.099000,0.094000,0.206000,-0.830000,0.020000,1.170000,-2.060819,ResetBack,-2.493652,-0.000049,ResetBack,682.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:53.852 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000427,0.000046,0.000000,-0.012070,0.009308,0.000000,-0.057000,-0.046000,-0.088000,-0.830000,0.000000,1.200000,-2.062171,ResetBack,-2.567871,-0.000049,ResetBack,8711.000000,-0.250000,LowGoal,75.000000,-2181.818182,Speed,52.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:53.953 PM 03/25/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.001587,0.000900,0.000000,-0.044418,0.003983,0.000000,-0.084000,0.016000,0.112000,-0.830000,0.000000,1.310000,-2.071122,Reset,-2.567871,0.000000,ResetBack,12858.000000,-0.250000,LowGoal,645.000000,-2181.818182,Speed,607.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.053 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.004288,0.000763,0.000000,-0.085831,-0.014877,0.000000,-0.112000,0.027000,0.017000,-0.830000,-0.190000,1.280000,-2.091667,Hold,0.484863,0.000000,ResetBack,13912.000000,-0.250000,LowGoal,1275.000000,-2181.818182,Speed,1260.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.154 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.010330,0.001343,0.000000,-0.147812,0.042130,0.000000,-0.035000,0.066000,0.307000,-0.830000,-0.190000,1.280000,-2.104756,Hold,0.484863,0.000000,ResetBack,14272.000000,-0.250000,LowGoal,1785.000000,-2181.818182,Speed,1830.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.254 PM 03/25/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.020966,0.005447,0.000000,-0.173996,0.061813,0.000000,0.141000,-0.059000,0.145000,-0.830000,-0.440000,1.270000,-2.104422,Hold,0.484863,0.000000,ResetBack,14772.000000,-0.250000,LowGoal,2167.500000,-2181.818182,Speed,2227.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.356 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.024933,0.006287,0.000000,0.000000,0.020248,0.000000,0.037000,0.031000,0.242000,-0.820000,-0.420000,1.140000,-2.084899,Hold,0.484863,0.000000,ResetBack,14772.000000,-0.250000,LowGoal,2235.000000,-2181.818182,Speed,2235.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.456 PM 03/25/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.024933,0.006287,0.000000,0.000000,0.020248,0.000000,0.037000,0.031000,0.242000,-0.810000,-0.460000,1.120000,-2.083598,Hold,0.484863,0.000000,ResetBack,15661.000000,-0.250000,LowGoal,2130.000000,-2181.818182,Speed,2130.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.556 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.026398,0.024689,0.000000,-0.122147,0.304520,0.000000,-0.143000,0.123000,-0.028000,-0.810000,-0.470000,1.030000,-2.080896,Hold,0.484863,0.000000,ResetBack,16602.000000,-0.250000,LowGoal,2055.000000,-2181.818182,Speed,2115.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.657 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.033051,0.042130,0.000000,-0.136948,0.361160,0.000000,-0.143000,0.123000,-0.028000,-0.810000,-0.390000,1.080000,-2.073993,Hold,0.484863,0.000000,ResetBack,16799.000000,-0.250000,LowGoal,2122.500000,-2181.818182,Speed,2145.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
08:16:54.757 PM 03/25/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_21.bee,0.000000,0.000000,0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.039108,0.057831,0.000000,-0.115372,0.281464,0.000000,-0.012000,-0.095000,-0.293000,-0.810000,-0.450000,1.170000,-2.090597,Hold,0.484863,0.000000,ResetBack,16801.000000,-0.250000,LowGoal,2130.000000,-2181.818182,Speed,2160.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,23,Read: /home/lvuser/scripts/auto_23.bee,File good!,WAIT 1500,WAIT
