Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right, Vision After Offset
09:41:08.331 AM 04/16/2016,Autonomous Enabled,9,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000015,0.000031,0.000000,-0.002731,0.003799,0.000000,-0.016000,-0.020000,-0.045000,1.390000,-1.220000,0.390000,-0.768245,ResetBack,-0.120605,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,7.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:08.432 AM 04/16/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000137,0.000153,0.000000,-0.004379,0.000000,0.000000,-0.017000,-0.017000,0.065000,1.380000,-1.220000,0.370000,-0.753576,ResetBack,-1.878418,-0.000049,ResetBack,2066.000000,-0.250000,LowGoal,90.000000,-2181.818182,Speed,472.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:08.532 AM 04/16/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000366,0.000275,0.000000,0.000900,0.000000,0.000000,0.017000,0.022000,0.009000,1.380000,-1.210000,0.310000,-0.746505,ResetBack,-2.751221,-0.000049,ResetBack,9254.000000,-0.250000,LowGoal,742.500000,-2181.818182,Speed,1042.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:08.632 AM 04/16/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000153,0.000198,0.000000,0.021652,-0.009628,0.000000,0.023000,0.001000,-0.030000,1.380000,-1.220000,0.400000,-0.755401,Reset,-2.837402,0.000000,ResetBack,13576.000000,-0.250000,LowGoal,1395.000000,-2181.818182,Speed,1620.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:08.732 AM 04/16/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001495,0.000443,0.000000,0.014145,0.020706,0.000000,-0.142000,0.031000,0.034000,1.380000,-1.210000,0.440000,-0.757432,Hold,0.246338,0.000000,ResetBack,13806.000000,-0.250000,LowGoal,1905.000000,-2181.818182,Speed,2062.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:08.832 AM 04/16/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000259,0.003387,0.000000,0.000000,0.067352,0.000000,-0.064000,0.019000,0.004000,1.390000,-1.220000,0.410000,-0.772730,Hold,0.384521,0.000000,ResetBack,13968.000000,-0.250000,LowGoal,2190.000000,-2181.818182,Speed,2212.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:08.932 AM 04/16/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.001770,0.007980,0.000000,-0.056747,0.112701,0.000000,-0.023000,0.025000,-0.069000,1.400000,-1.210000,0.390000,-0.762100,Hold,0.384521,0.000000,ResetBack,13968.000000,-0.250000,LowGoal,2212.500000,-2181.818182,Speed,2160.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:09.032 AM 04/16/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.006271,0.015457,0.000000,-0.106277,0.201614,0.000000,0.026000,0.167000,0.022000,1.370000,-1.210000,0.420000,-0.779426,Hold,0.384521,0.000000,ResetBack,13980.000000,-0.250000,LowGoal,2137.500000,-2181.818182,Speed,2115.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:09.132 AM 04/16/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.007141,0.025131,0.000000,0.011139,0.251801,0.000000,-0.016000,-0.002000,-0.049000,1.400000,-1.210000,0.410000,-0.791010,Hold,0.384521,0.000000,ResetBack,14005.000000,-0.250000,LowGoal,2085.000000,-2181.818182,Speed,2115.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
09:41:09.233 AM 04/16/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_42.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.005997,0.043228,0.000000,0.040771,0.246750,0.000000,0.076000,-0.022000,-0.053000,1.390000,-1.220000,0.430000,-0.787864,Hold,0.384521,0.000000,ResetBack,14262.000000,-0.250000,LowGoal,2100.000000,-2181.818182,Speed,2130.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,45,Read: /home/lvuser/scripts/auto_45.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
