Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right
03:00:22.534 PM 04/14/2016,Autonomous Enabled,10,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002000,-0.002000,0.009000,1.470000,-0.890000,0.190000,4.044699,ResetBack,0.000000,-0.000049,ResetBack,0.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:22.634 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000092,0.000015,0.000000,-0.009872,0.002457,0.000000,0.041000,0.019000,-0.018000,1.480000,-0.890000,0.100000,4.054480,ResetBack,-0.628662,-0.000049,ResetBack,741.000000,-0.250000,LowGoal,52.500000,-2181.818182,Speed,45.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:22.736 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000381,0.000427,0.000000,-0.000671,0.001465,0.000000,-0.015000,-0.018000,0.013000,1.490000,-0.890000,0.110000,4.067947,ResetBack,-1.103271,-0.000049,ResetBack,2552.000000,-0.250000,LowGoal,675.000000,-2181.818182,Speed,660.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:22.835 PM 04/14/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000320,-0.000061,0.000000,0.006744,-0.016678,0.000000,0.026000,0.001000,-0.128000,1.470000,-0.890000,0.100000,4.063747,ResetBack,-1.172852,-0.000049,ResetBack,2552.000000,-0.250000,LowGoal,1372.500000,-2181.818182,Speed,1357.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:22.936 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.000153,-0.001022,0.000000,0.000000,-0.030594,0.000000,0.009000,-0.014000,0.020000,1.450000,-0.880000,0.090000,4.061306,Reset,-1.175781,0.000000,ResetBack,2790.000000,-0.250000,LowGoal,1935.000000,-2181.818182,Speed,1905.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:23.036 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.001221,-0.000885,0.000000,0.058289,-0.001328,0.000000,0.121000,-0.016000,0.142000,1.470000,-0.890000,0.110000,4.065978,Hold,0.001465,0.000000,ResetBack,2861.000000,-0.250000,LowGoal,2272.500000,-2181.818182,Speed,2227.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:23.136 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.002670,-0.001709,0.000000,-0.007202,-0.032043,0.000000,-0.055000,0.013000,0.030000,1.440000,-0.890000,0.120000,4.059606,Hold,0.001709,0.000000,ResetBack,2872.000000,-0.250000,LowGoal,2280.000000,-2181.818182,Speed,2190.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:23.238 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,0.000137,-0.001984,0.000000,-0.090378,0.017075,0.000000,-0.026000,0.056000,-0.175000,1.440000,-0.880000,0.010000,4.068212,Hold,0.001709,0.000000,ResetBack,3233.000000,-0.250000,LowGoal,2182.500000,-2181.818182,Speed,2107.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:23.338 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.006363,0.001038,0.000000,-0.159729,0.094406,0.000000,-0.080000,0.049000,-0.040000,1.440000,-0.880000,-0.070000,4.078113,Hold,0.001709,0.000000,ResetBack,4497.000000,-0.250000,LowGoal,2145.000000,-2181.818182,Speed,2100.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
03:00:23.438 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_22.bee,0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.015823,0.007935,0.000000,-0.202240,0.163040,0.000000,0.002000,-0.004000,-0.052000,1.430000,-0.880000,-0.080000,4.091384,Hold,0.001953,0.000000,ResetBack,4553.000000,-0.250000,LowGoal,2145.000000,-2181.818182,Speed,2130.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,25,Read: /home/lvuser/scripts/auto_25.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000
