Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right, Vision After Offset
07:27:45.021 PM 04/14/2016,Autonomous Enabled,10,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.010315,-0.000702,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001000,0.006000,1.260000,-0.790000,0.220000,-0.494451,ResetBack,-0.002441,-0.000049,ResetBack,6228.000000,-0.250000,LowGoal,0.000000,-2181.818182,Speed,0.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.122 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.009171,-0.000610,0.000000,0.014359,-0.007004,0.000000,-0.029000,0.027000,0.041000,1.290000,-0.790000,0.200000,-0.490434,ResetBack,-0.293945,-0.000049,ResetBack,8974.000000,-0.250000,LowGoal,52.500000,-2181.818182,Speed,322.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.222 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.009171,-0.000610,0.000000,0.014359,-0.007004,0.000000,0.013000,0.004000,0.051000,1.280000,-0.790000,0.200000,-0.490434,ResetBack,-0.310303,-0.000049,ResetBack,14780.000000,-0.250000,LowGoal,682.500000,-2181.818182,Speed,915.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.322 PM 04/14/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.006531,-0.000763,0.000000,0.072006,0.000000,0.000000,-0.073000,0.027000,0.033000,1.290000,-0.790000,0.300000,-0.480485,ResetBack,-0.312988,-0.000049,ResetBack,14780.000000,-0.250000,LowGoal,1387.500000,-2181.818182,Speed,1515.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.422 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.004059,-0.000137,0.000000,0.052490,0.028427,0.000000,0.011000,-0.010000,-0.064000,1.260000,-0.800000,0.340000,-0.480485,Reset,-0.323730,0.000000,ResetBack,21021.000000,-0.250000,LowGoal,1957.500000,-2181.818182,Speed,1995.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.522 PM 04/14/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.003784,0.000824,0.000000,-0.020248,0.037872,0.000000,-0.052000,0.134000,-0.180000,1.260000,-0.790000,0.260000,-0.483435,Hold,0.292236,0.000000,ResetBack,26896.000000,-0.250000,LowGoal,2257.500000,-2181.818182,Speed,2227.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.623 PM 04/14/2016,Autonomous Enabled,11,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.007263,0.007660,0.000000,-0.090363,0.160782,0.000000,-0.041000,0.034000,-0.002000,1.270000,-0.790000,0.310000,-0.500083,Hold,0.292480,0.000000,ResetBack,31496.000000,-0.250000,LowGoal,2257.500000,-2181.818182,Speed,2190.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.724 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.012543,0.011078,0.000000,-0.108353,0.006088,0.000000,0.000000,-0.006000,-0.038000,1.260000,-0.800000,0.250000,-0.503378,Hold,0.292480,0.000000,ResetBack,34060.000000,-0.250000,LowGoal,2175.000000,-2181.818182,Speed,2115.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.825 PM 04/14/2016,Autonomous Enabled,10,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.016968,0.011169,0.000000,-0.118469,-0.007263,0.000000,-0.015000,-0.028000,0.055000,1.250000,-0.800000,0.280000,-0.511330,Hold,0.292480,0.000000,ResetBack,35023.000000,-0.250000,LowGoal,2137.500000,-2181.818182,Speed,2100.000000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
07:27:45.925 PM 04/14/2016,Autonomous Enabled,9,TRUE,7,Read from Text File in DoesScriptNumberContainNull.vi->Disabled.vi->Robot Main.vi<APPEND> /home/lvuser/scripts/auto_32.bee,0.000000,-0.128333,-0.000000,0.012833,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.025070,0.009720,0.000000,-0.142197,-0.042252,0.000000,0.001000,-0.015000,0.037000,1.280000,-0.800000,0.290000,-0.513826,Hold,0.292480,0.000000,ResetBack,35023.000000,-0.250000,LowGoal,2160.000000,-2181.818182,Speed,2122.500000,-2181.818182,Speed,Off,Off,0.000000,FALSE,35,Read: /home/lvuser/scripts/auto_35.bee,File good!,WAIT 1500,WAIT,0.000000,0.000000,-0.033000
