Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:21:17.607 PM 02/18/2016,Autonomous Disabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,8.910000,1.050000,1.150000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.309586,-10.691467,0.000000,0.000000,0.000000,0.003000,FlatInitial,Hold,0,-0.853125
07:21:17.711 PM 02/18/2016,Teleop Disabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,0.000000,0.000000,0.000000,0.000000,Speed,Speed,8.910000,1.050000,1.150000,0.000000,13272.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.309586,-10.691467,0.000000,0.000000,0.000000,0.003000,FlatInitial,ResetBack,0,-0.853125
07:21:17.811 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.100000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.004000,FlatInitial,ResetBack,0,-0.853125
07:21:17.913 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.100000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,-0.001000,0.000000,0.005000,FlatInitial,ResetBack,0,-0.853125
07:21:18.013 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,-0.001000,0.001000,0.001000,FlatInitial,ResetBack,0,-0.853125
07:21:18.115 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.007000,FlatInitial,ResetBack,0,-0.853125
07:21:18.215 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,104.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.008000,FlatInitial,ResetBack,0,-0.853125
07:21:18.316 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.007000,FlatInitial,ResetBack,0,-0.853125
07:21:18.418 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.002000,-0.001000,0.005000,FlatInitial,ResetBack,0,-0.853125
07:21:18.518 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.001000,0.000000,0.003000,FlatInitial,ResetBack,0,-0.853125
07:21:18.618 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.010000,FlatInitial,ResetBack,0,-0.853125
07:21:18.719 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.040000,2.100000,0.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.006000,FlatInitial,ResetBack,0,-0.853125
07:21:18.819 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.100000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.005000,FlatInitial,ResetBack,0,-0.853125
07:21:18.920 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.100000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,0.000000,0.000000,0.007000,FlatInitial,ResetBack,0,-0.853125
07:21:19.020 PM 02/18/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,0.000000,0.000000,Speed,Speed,0.000000,1.050000,2.100000,0.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,27.301453,-10.688202,0.000000,-0.001000,-0.002000,0.006000,FlatInitial,ResetBack,0,-0.853125
