Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:46:58.214 PM 02/18/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.020000,1.960000,1.000000,104.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.026672,15.827621,0.000000,0.002000,0.001000,0.004000,FlatInitial,ResetBack,0,-0.828125,-0.080000
07:46:58.315 PM 02/18/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-2.197266,1.757812,-6000.000000,-6000.000000,Speed,Speed,-0.110000,1.040000,1.900000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.026672,15.827621,0.000000,0.002000,0.001000,0.004000,FlatInitial,ResetBack,0,-0.828125,-0.110000
07:46:58.415 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-767.724609,741.943359,-6000.000000,-6000.000000,Speed,Speed,-0.200000,1.020000,1.900000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,23.026459,15.827301,0.000000,-0.001000,0.051000,0.047000,FlatInitial,ResetBack,0,-0.828125,-0.200000
07:46:58.515 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-2556.884766,2530.371094,-6000.000000,-6000.000000,Speed,Speed,-0.140000,1.040000,2.040000,1.000000,107.000000,1,0,-0.000000,0.000000,1,0.013306,-0.005890,0.000000,23.026962,15.827454,0.000000,-0.013000,-0.026000,-0.004000,FlatInitial,ResetBack,1,-0.828125,-0.140000
07:46:58.617 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4053.515625,4037.109375,-6000.000000,-6000.000000,Speed,Speed,-0.170000,1.030000,1.990000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.010193,-0.025391,0.000000,23.026825,15.826233,0.000000,-0.013000,-0.026000,-0.004000,FlatInitial,ResetForward,1,-0.828125,-0.170000
07:46:58.718 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4974.609375,5144.531250,-6000.000000,-6000.000000,Speed,Speed,-0.190000,1.000000,1.970000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.019302,-0.062408,0.000000,23.025848,15.824158,0.000000,0.038000,-0.067000,-0.046000,FlatInitial,ResetForward,1,-0.828125,-0.190000
07:46:58.818 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5646.093750,5615.625000,-6000.000000,-6000.000000,Speed,Speed,-0.170000,1.000000,2.110000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.019302,-0.062408,0.000000,23.025848,15.824158,0.000000,0.038000,-0.067000,-0.046000,FlatInitial,ResetForward,1,-0.828125,-0.170000
07:46:58.919 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5886.328125,5791.406250,-6000.000000,-6000.000000,Speed,Speed,-0.180000,0.910000,1.920000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.000168,-0.034241,0.000000,23.028030,15.823196,0.000000,-0.027000,-0.057000,0.012000,FlatInitial,ResetForward,0,-0.828125,-0.180000
07:46:59.019 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5951.953125,5833.007812,-6000.000000,-6000.000000,Speed,Speed,-0.180000,0.910000,1.670000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.003784,-0.075150,0.000000,23.027786,15.820190,0.000000,0.022000,-0.007000,0.000000,FlatInitial,Reset,0,-0.828125,-0.180000
07:46:59.120 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5969.531250,5873.437500,-6000.000000,-6000.000000,Speed,Speed,-0.190000,0.880000,1.530000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.039886,-0.117569,0.000000,23.029007,15.815536,0.000000,0.029000,-0.032000,0.015000,FlatInitial,Hold,0,-0.828125,-0.190000
