Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:53:21.592 PM 02/18/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,-0.070000,1.050000,1.640000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,4.218521,46.498154,0.000000,-0.001000,0.000000,0.000000,FlatInitial,ResetBack,0,0.096875,-0.070000
07:53:21.692 PM 02/18/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-439.160156,399.023438,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.070000,1.620000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.011703,0.000000,0.000000,4.218887,46.498154,0.000000,-0.018000,0.001000,-0.003000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:21.792 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-2072.460938,1983.837891,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.070000,1.620000,1.000000,108.000000,1,0,-0.000000,0.000000,1,-0.005463,0.002396,0.000000,4.218506,46.497971,0.000000,0.026000,-0.013000,-0.024000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:21.893 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-3563.085937,3465.087891,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.070000,1.630000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.005463,0.002396,0.000000,4.218506,46.497971,0.000000,0.005000,-0.029000,-0.024000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:21.993 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4553.173828,4472.314453,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.080000,1.590000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.032257,-0.013931,0.000000,4.219101,46.497650,0.000000,0.070000,-0.073000,0.016000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:22.093 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5403.515625,5365.429688,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.080000,1.590000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.032257,-0.013931,0.000000,4.219101,46.497650,0.000000,-0.023000,-0.095000,0.057000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:22.200 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5827.734375,5745.117188,-6000.000000,-6000.000000,Speed,Speed,-0.090000,1.070000,1.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.039627,0.036743,0.000000,4.218201,46.498322,0.000000,-0.063000,0.048000,-0.062000,FlatInitial,ResetBack,0,0.096875,-0.090000
07:53:22.300 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5981.250000,5865.234375,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.020000,1.860000,1.000000,104.000000,1,0,-0.000000,0.000000,1,-0.039627,0.036743,0.000000,4.218201,46.498322,0.000000,-0.063000,0.048000,-0.062000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:22.401 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6022.265625,5917.382812,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.000000,2.020000,1.000000,106.000000,1,0,-0.000000,0.000000,1,-0.177322,0.144516,0.000000,4.206543,46.508209,0.000000,-0.046000,0.039000,0.097000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:22.501 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6027.539062,5956.640625,-6000.000000,-6000.000000,Speed,Speed,-0.080000,1.000000,2.020000,1.000000,103.000000,1,0,-0.000000,0.000000,1,-0.177322,0.144516,0.000000,4.206543,46.508209,0.000000,-0.046000,0.039000,0.097000,FlatInitial,ResetBack,0,0.096875,-0.080000
07:53:22.601 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6026.367188,5985.351562,-6000.000000,-6000.000000,Speed,Speed,-0.090000,1.050000,2.310000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.287521,0.243042,0.000000,4.182846,46.528610,0.000000,-0.055000,0.031000,0.150000,FlatInitial,ResetBack,0,0.096875,-0.090000
07:53:22.704 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6025.195312,6000.000000,-6000.000000,-6000.000000,Speed,Speed,-0.100000,1.120000,2.410000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.287521,0.243042,0.000000,4.182846,46.528610,0.000000,-0.047000,0.038000,0.165000,FlatInitial,ResetBack,0,0.096875,-0.100000
07:53:22.804 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6021.679688,6007.031250,-6000.000000,-6000.000000,Speed,Speed,-0.110000,1.200000,2.320000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.373962,0.226990,0.000000,4.159393,46.545364,0.000000,-0.083000,0.003000,0.170000,FlatInitial,ResetBack,0,0.096875,-0.110000
07:53:22.905 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6015.234375,6014.062500,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.310000,2.030000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.444046,0.175415,0.000000,4.138611,46.555435,0.000000,-0.078000,-0.020000,0.115000,FlatInitial,ResetBack,0,0.096875,-0.120000
07:53:23.005 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6009.960938,6019.335938,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.330000,1.760000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.528183,0.138977,0.000000,4.113922,46.563171,0.000000,-0.080000,-0.063000,0.116000,FlatInitial,ResetBack,0,0.096875,-0.120000
07:53:23.107 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6009.960938,6019.335938,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.300000,1.510000,1.000000,105.000000,1,0,-0.000000,0.000000,1,-0.602661,0.085327,0.000000,4.091019,46.567444,0.000000,-0.097000,-0.062000,0.138000,FlatInitial,ResetBack,0,0.096875,-0.120000
07:53:23.207 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.718750,6013.476562,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.300000,1.510000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.688492,0.024521,0.000000,4.058151,46.569855,0.000000,-0.092000,-0.090000,0.124000,FlatInitial,ResetBack,1,0.096875,-0.120000
07:53:23.307 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.132812,6003.515625,-6000.000000,-6000.000000,Speed,Speed,-0.110000,1.260000,1.220000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.745743,0.005478,0.000000,4.014389,46.569931,0.000000,0.012000,0.020000,0.241000,FlatInitial,ResetForward,1,0.096875,-0.110000
07:53:23.409 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,5992.968750,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.230000,1.070000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.737488,0.000000,0.000000,3.970047,46.570099,0.000000,-0.027000,-0.002000,0.286000,FlatInitial,ResetForward,1,0.096875,-0.120000
07:53:23.509 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.031250,5992.968750,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.170000,0.900000,1.000000,100.000000,1,0,-0.000000,0.000000,1,-0.765610,-0.006546,0.000000,3.932449,46.570023,0.000000,-0.029000,-0.024000,0.142000,FlatInitial,ResetForward,1,0.096875,-0.120000
07:53:23.610 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6012.304688,6002.929688,-6000.000000,-6000.000000,Speed,Speed,-0.110000,1.100000,0.660000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.799667,-0.035416,0.000000,3.893188,46.568909,0.000000,-0.068000,-0.032000,0.188000,FlatInitial,ResetForward,0,0.096875,-0.110000
07:53:23.716 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6015.820312,6014.648438,-6000.000000,-6000.000000,Speed,Speed,-0.120000,1.020000,0.410000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.857193,-0.069473,0.000000,3.851578,46.566040,0.000000,-0.066000,-0.041000,0.141000,FlatInitial,Reset,0,0.096875,-0.120000
07:53:23.819 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6015.820312,6022.265625,-6000.000000,-6000.000000,Speed,Speed,-0.130000,0.780000,0.350000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.909012,-0.063965,0.000000,3.815948,46.563141,0.000000,-0.012000,0.035000,0.108000,FlatInitial,Hold,0,0.096875,-0.130000
07:53:23.919 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6013.476562,6021.093750,-6000.000000,-6000.000000,Speed,Speed,-0.130000,0.780000,0.350000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.930923,-0.038727,0.000000,3.769745,46.560760,0.000000,0.016000,0.029000,0.145000,FlatInitial,Hold,0,0.096875,-0.130000
07:53:24.020 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6011.132812,6019.335938,-6000.000000,-6000.000000,Speed,Speed,-0.120000,0.620000,0.620000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.001862,0.001526,0.000000,3.741592,46.559769,0.000000,0.034000,0.073000,0.157000,FlatInitial,Hold,0,0.096875,-0.120000
07:53:24.121 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.031250,6014.062500,-6000.000000,-6000.000000,Speed,Speed,-0.120000,0.540000,1.370000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.007477,0.079483,0.000000,3.741806,46.562637,0.000000,0.010000,0.056000,0.102000,FlatInitial,Hold,0,0.096875,-0.120000
