Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AngeMotorState,Photoeye,VisionXOutput,gyro180,RollerArmDesired,RollerArmActual,ShooterArmDesired,ShooterArmActual, DefenseDetectorController,DefenseDetectorRaw,Shooter10Amps,Shooter11Amps,IsStalled
08:38:45.298 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,0.000000,0.000000,4000.000000,4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,1.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,-0.200000,0.000000,-0.300000,0.000000,0,0,0.000000,0.000000,1
08:38:45.400 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,355.371094,-273.779297,4000.000000,4000.000000,Speed,Speed,-0.200000,-0.530000,2.130000,1.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,-0.200000,0.000000,-0.300000,0.000000,0,0,0.000000,0.000000,0
08:38:45.500 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,2078.613281,-2166.357422,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,-0.200000,-2440.000000,-0.300000,4876.000000,0,0,0.000000,0.000000,0
08:38:45.600 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,3105.029297,-3491.601562,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,100.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,-0.200000,-8389.000000,-0.300000,12714.000000,0,0,0.000000,0.000000,0
08:38:45.700 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,3006.298828,-3382.177734,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,-8871.000000,-0.300000,22612.000000,0,0,0.000000,0.000000,0
08:38:45.800 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,2469.287109,-2999.560547,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,57.000000,-0.300000,28901.000000,0,0,0.000000,0.000000,0
08:38:45.903 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,1970.800781,-2627.490234,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,103.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,57.000000,-0.300000,28901.000000,0,0,0.000000,0.000000,0
08:38:46.003 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,1525.927734,-2269.042969,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,61.000000,-0.300000,31552.000000,0,0,0.000000,0.000000,0
08:38:46.104 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,1120.751953,-1927.441406,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,102.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,62.000000,-0.300000,33465.000000,0,0,0.000000,0.000000,0
08:38:46.205 PM 03/02/2016,Autonomous Enabled,23,TRUE,-44087,NetComm_CAN_Receive.vi:5470026<APPEND>  <b>Complete call chain:</b>      NetComm_CAN_Receive.vi:5470026      WPI_CAN_PDPReceive.vi      WPI_Power Get PDP Currents.vi      Periodic Tasks.vi      Robot Main.vi,773.144531,-1602.392578,0.000000,0.000000,Speed,Speed,-0.200000,-0.530000,2.130000,2.000000,101.000000,1,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,-0.001000,0.020000,FlatInitial,ResetBack,0,0.000000,-0.200000,0.000000,62.000000,-0.300000,33887.000000,0,0,0.000000,0.000000,0
