Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right, Vision After Offset
10:15:58.612 AM 04/28/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.264648,-0.180954,0.000000,0.000000,0.000000,0.000000,-0.003000,0.000000,-0.002000,1.900000,-0.250000,0.020000,-0.080638,ResetBack,-0.153320,-0.000049,ResetBack,-8525.000000,-0.250000,Suck,0.000000,1818.181818,Speed,0.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:58.711 AM 04/28/2016,Teleop Enabled,8,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.264862,-0.181351,0.000000,0.010071,-0.020065,0.000000,-0.004000,-0.036000,-0.018000,1.920000,-0.250000,0.000000,-0.067395,ResetBack,-0.153320,-0.000049,ResetBack,-1635.000000,-0.250000,Suck,-300.000000,0.000000,Speed,-37.500000,0.000000,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:58.813 AM 04/28/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.264481,-0.182068,0.000000,0.003296,-0.010040,0.000000,-0.010000,0.034000,-0.005000,1.950000,-0.260000,-0.020000,-0.050100,ResetBack,-0.166260,-0.000049,ResetBack,-295.000000,-0.250000,Suck,-727.500000,1818.181818,Speed,-120.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:58.915 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.263519,-0.182495,0.000000,0.029770,-0.021530,0.000000,0.064000,0.028000,-0.010000,1.950000,-0.260000,-0.020000,-0.045342,Reset,-0.210205,-0.000049,ResetBack,-295.000000,-0.250000,Suck,-885.000000,1818.181818,Speed,-292.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.018 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.261917,-0.184677,0.000000,0.033661,-0.051102,0.000000,0.015000,-0.023000,-0.056000,1.870000,-0.260000,0.060000,-0.061784,Hold,0.031250,0.000000,ResetBack,-143.000000,-0.250000,Suck,-1110.000000,1818.181818,Speed,-967.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.122 AM 04/28/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.260880,-0.186249,0.000000,0.012329,-0.035416,0.000000,-0.062000,0.090000,0.024000,1.870000,-0.260000,0.060000,-0.074170,Hold,0.031494,0.000000,ResetBack,-143.000000,-0.250000,Suck,-1530.000000,1818.181818,Speed,-1470.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.225 AM 04/28/2016,Teleop Enabled,11,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.261108,-0.188248,0.000000,-0.023529,-0.034653,0.000000,0.002000,-0.035000,-0.008000,1.910000,-0.260000,-0.060000,-0.077723,Hold,0.031494,0.000000,ResetBack,-123.000000,-0.250000,Suck,-1777.500000,1818.181818,Speed,-1785.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.328 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.261780,-0.189377,0.000000,-0.002380,0.000000,0.000000,-0.023000,-0.027000,-0.023000,1.910000,-0.260000,-0.060000,-0.090818,Hold,0.031494,0.000000,ResetBack,22.000000,-0.250000,Suck,-1822.500000,1818.181818,Speed,-1867.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.424 AM 04/28/2016,Teleop Enabled,13,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.261520,-0.189789,0.000000,0.008820,-0.015671,0.000000,0.000000,-0.019000,0.014000,1.940000,-0.260000,-0.060000,-0.108812,Hold,0.031494,0.000000,ResetBack,158.000000,-0.250000,Suck,-1792.500000,1818.181818,Speed,-1860.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.524 AM 04/28/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.261810,-0.189667,0.000000,-0.007477,0.003357,0.000000,-0.085000,0.008000,0.029000,1.920000,-0.260000,0.010000,-0.115167,Hold,0.031494,0.000000,ResetBack,158.000000,-0.250000,Suck,-1732.500000,1818.181818,Speed,-1762.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:15:59.626 AM 04/28/2016,Teleop Enabled,14,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,-0.006417,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.261612,-0.190140,0.000000,0.007706,-0.008194,0.000000,0.041000,-0.084000,-0.071000,1.910000,-0.260000,0.010000,-0.133000,Hold,0.031494,0.000000,ResetBack,258.000000,-0.250000,Suck,-1710.000000,1818.181818,Speed,-1680.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
