Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState
06:35:00.569 PM 02/16/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,-33.105469,3.808594,-6000.000000,-6000.000000,Speed,Speed,-0.490000,1.140000,1.690000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,-0.000793,0.001053,0.000000,0.003000,0.002000,0.016000,FlatInitial,ResetForward
06:35:00.670 PM 02/16/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-1242.480469,872.753906,-6000.000000,-6000.000000,Speed,Speed,0.370000,0.750000,2.110000,1.000000,100.000000,1,0,-0.527559,0.527559,1,-0.110321,0.116531,0.000000,-0.002365,0.002808,0.000000,-0.453000,0.363000,0.023000,FlatInitial,ResetForward
06:35:00.770 PM 02/16/2016,Teleop Enabled,0,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,-2637.451172,2625.000000,-6000.000000,-6000.000000,Speed,Speed,7.540000,-0.050000,2.350000,1.000000,101.000000,1,0,-0.527559,0.527559,1,-0.224625,0.264984,0.000000,-0.012695,0.012238,0.000000,-0.260000,0.192000,0.304000,FlatInitial,ResetForward
06:35:00.871 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4039.453125,4020.849609,-6000.000000,-6000.000000,Speed,Speed,19.300000,-0.660000,2.770000,1.000000,102.000000,1,0,-0.527559,0.527559,1,-0.230896,0.392471,0.000000,-0.025177,0.029770,0.000000,0.022000,0.326000,0.092000,FlatInitial,ResetForward
06:35:00.971 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5130.468750,4889.648438,-6000.000000,-6000.000000,Speed,Speed,35.120000,-1.310000,2.820000,1.000000,101.000000,1,0,-0.527559,0.527559,1,-0.135727,0.553818,0.000000,-0.034378,0.054214,0.000000,0.213000,0.196000,0.054000,FlatInitial,ResetForward
06:35:01.073 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5467.382812,5480.273438,-6000.000000,-6000.000000,Speed,Speed,54.800000,-1.810000,2.980000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.083710,0.682831,0.000000,-0.034760,0.086319,0.000000,0.312000,0.032000,-0.069000,FlatInitial,ResetForward
06:35:01.173 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5633.789062,5609.179688,-6000.000000,-6000.000000,Speed,Speed,77.960000,-2.140000,3.090000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.403030,0.649017,0.000000,-0.021255,0.120605,0.000000,0.407000,-0.255000,-0.034000,FlatInitial,ResetForward
06:35:01.274 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-5675.390625,5598.632812,-6000.000000,-6000.000000,Speed,Speed,103.740000,-2.320000,3.350000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.720581,0.355118,0.000000,0.008789,0.144592,0.000000,0.156000,-0.355000,0.039000,FlatInitial,ResetForward
06:35:01.374 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-5356.054688,5152.148438,-6000.000000,-6000.000000,Speed,Speed,128.260000,-1.460000,3.040000,1.000000,104.000000,1,0,-0.527559,0.527559,1,0.686890,-0.102005,0.000000,0.046631,0.148804,0.000000,-0.270000,-0.246000,-0.032000,FlatInitial,ResetForward
06:35:01.475 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-4960.546875,4428.369141,-6000.000000,-6000.000000,Speed,Speed,142.790000,-0.290000,2.390000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.359253,-0.314606,0.000000,0.071182,0.136185,0.000000,-0.184000,0.046000,-0.040000,FlatInitial,ResetForward
