Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye
06:46:09.595 PM 02/16/2016,Teleop Enabled,0,TRUE,91,Variant To Data in WPI_DigitalInputRefNum Registry Get.vi->Periodic Tasks.vi->Robot Main.vi,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.750000,1.770000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.004303,-0.002792,0.000000,0.000000,-0.004000,0.007000,FlatInitial,ResetForward,1
06:46:09.696 PM 02/16/2016,Teleop Enabled,0,TRUE,-44007,<LOCATION>WPI_DigitalInputRefNum Registry Get.vi<CALLSTACK>WPI_DigitalInputRefNum Registry Get.vi< <Periodic Tasks.vi< <Robot Main.vi,-640.136719,420.117188,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.750000,1.760000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,0.004303,-0.002792,0.000000,0.012000,0.000000,0.007000,FlatInitial,ResetForward,1
06:46:09.797 PM 02/16/2016,Teleop Enabled,0,TRUE,-44003,<LOCATION>WPI_CameraIssue HTTP Request with Authentication.vi<CALLSTACK>WPI_CameraIssue HTTP Request with Authentication.vi< <WPI_CameraIssue Get.vi< <WPI_CameraSet Image Appearance Property.vi< <WPI_CameraSet Image Size.vi< <Vision Processing.vi< <Robot Main.vi,-2434.423828,420.117188,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.720000,1.780000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.013657,-0.004395,0.000000,0.003998,-0.002823,0.000000,0.004000,0.045000,-0.024000,FlatInitial,ResetForward,1
06:46:09.898 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-2434.423828,3769.482422,-6000.000000,-6000.000000,Speed,Speed,0.830000,0.700000,1.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.008377,-0.005783,0.000000,0.003632,-0.002792,0.000000,0.000000,0.018000,-0.019000,FlatInitial,ResetForward,1
06:46:09.999 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-4913.671875,3769.482422,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.720000,1.840000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.008957,0.020615,0.000000,0.003311,-0.002411,0.000000,-0.034000,0.057000,0.090000,FlatInitial,ResetForward,1
06:46:10.099 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5590.429688,4993.945312,-6000.000000,-6000.000000,Speed,Speed,0.810000,0.730000,1.790000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.005814,0.023453,0.000000,0.003311,-0.001068,0.000000,-0.053000,-0.031000,0.000000,FlatInitial,ResetForward,1
06:46:10.200 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5830.664062,5565.234375,-6000.000000,-6000.000000,Speed,Speed,0.810000,0.710000,1.760000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,0.056366,0.000000,0.003662,0.000473,0.000000,-0.007000,0.048000,-0.049000,FlatInitial,ResetForward,1
06:46:10.300 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5896.289062,5777.929688,-6000.000000,-6000.000000,Speed,Speed,0.810000,0.740000,1.760000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.014786,0.089554,0.000000,0.003250,0.004288,0.000000,-0.036000,-0.033000,0.162000,FlatInitial,ResetForward,1
06:46:10.400 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5920.898438,5796.679688,-6000.000000,-6000.000000,Speed,Speed,0.810000,0.680000,1.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.042603,0.062668,0.000000,0.001297,0.007828,0.000000,0.009000,0.045000,0.328000,FlatInitial,ResetForward,1
06:46:10.500 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5942.578125,5814.843750,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.750000,1.760000,1.000000,100.000000,1,0,-0.000000,0.000000,1,-0.024368,0.058594,0.000000,0.000473,0.011261,0.000000,-0.042000,-0.082000,0.176000,FlatInitial,ResetForward,1
06:46:10.600 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5942.578125,5851.171875,-6000.000000,-6000.000000,Speed,Speed,0.820000,0.730000,1.670000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.101379,0.069397,0.000000,-0.003036,0.014206,0.000000,-0.042000,0.007000,0.027000,FlatInitial,ResetForward,1
06:46:10.700 PM 02/16/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5967.187500,5913.281250,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.790000,1.740000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.141830,0.000000,0.000000,-0.009338,0.016037,0.000000,-0.027000,-0.016000,-0.092000,FlatInitial,ResetForward,1
06:46:10.801 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-5987.109375,5962.500000,-6000.000000,-6000.000000,Speed,Speed,0.810000,0.780000,1.900000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.201065,-0.003433,0.000000,-0.018082,0.016052,0.000000,-0.058000,-0.035000,-0.061000,FlatInitial,ResetForward,1
06:46:10.901 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-5960.742188,5932.031250,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.760000,1.960000,1.000000,100.000000,1,0,-0.000000,0.000000,1,-0.271820,0.008865,0.000000,-0.030075,0.016037,0.000000,-0.083000,0.036000,-0.069000,FlatInitial,ResetForward,1
06:46:11.000 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-5688.867188,5422.265625,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.720000,1.990000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.316467,0.043350,0.000000,-0.045334,0.017181,0.000000,0.037000,0.045000,-0.175000,FlatInitial,ResetForward,1
06:46:11.101 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-5199.023438,4726.025391,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.710000,1.860000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.318100,0.037582,0.000000,-0.060669,0.019714,0.000000,-0.008000,-0.053000,0.015000,FlatInitial,ResetForward,1
06:46:11.201 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-4719.433594,4184.179688,-6000.000000,-6000.000000,Speed,Speed,0.810000,0.650000,1.850000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.336639,0.018280,0.000000,-0.077164,0.020996,0.000000,-0.037000,0.023000,-0.062000,FlatInitial,ResetForward,1
06:46:11.302 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-4253.173828,3521.777344,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.670000,1.820000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.337646,-0.001862,0.000000,-0.094009,0.021484,0.000000,0.007000,-0.004000,0.022000,FlatInitial,ResetForward,1
06:46:11.402 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-3808.740234,2883.837891,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.670000,1.820000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.013550,-0.007675,0.000000,-0.101074,0.021378,0.000000,-0.062000,-0.025000,-0.022000,FlatInitial,ResetForward,1
06:46:11.501 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-3379.101562,2282.519531,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.700000,1.810000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.016464,-0.018661,0.000000,-0.102051,0.020523,0.000000,-0.034000,-0.006000,0.026000,FlatInitial,ResetForward,1
06:46:11.602 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-2969.677734,1714.306641,-6000.000000,-6000.000000,Speed,Speed,0.800000,0.710000,1.840000,1.000000,102.000000,1,0,-0.000000,0.000000,1,-0.000717,0.000000,0.000000,-0.102661,0.020676,0.000000,0.022000,0.006000,-0.063000,FlatInitial,ResetForward,1
06:46:11.702 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-2653.125000,1301.806641,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.700000,1.810000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102615,0.020508,0.000000,-0.007000,-0.017000,-0.004000,FlatInitial,ResetForward,1
06:46:11.802 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-2274.462891,826.025391,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.700000,1.800000,1.000000,100.000000,1,0,-0.000000,0.000000,1,0.004715,0.000000,0.000000,-0.102631,0.020569,0.000000,0.014000,0.007000,-0.010000,FlatInitial,ResetForward,1
06:46:11.902 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-1917.626953,424.804688,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.710000,1.780000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,-0.005585,0.000000,-0.102570,0.020432,0.000000,-0.012000,0.006000,-0.017000,FlatInitial,ResetForward,1
06:46:12.002 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-1579.833984,122.167969,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.710000,1.790000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.004333,0.000000,0.000000,-0.102478,0.020355,0.000000,0.006000,-0.008000,0.043000,FlatInitial,ResetForward,1
06:46:12.101 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-1257.275391,0.732422,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.710000,1.780000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,0.002000,0.001000,0.022000,FlatInitial,ResetForward,1
06:46:12.202 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-974.121094,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.720000,1.780000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,-0.001000,-0.001000,0.023000,FlatInitial,ResetForward,1
06:46:12.302 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-755.419922,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.720000,1.770000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,0.009000,0.000000,0.013000,FlatInitial,ResetForward,1
06:46:12.403 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-505.078125,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.790000,0.730000,1.770000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,0.003000,-0.010000,0.012000,FlatInitial,ResetForward,1
06:46:12.502 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-299.853516,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.780000,0.730000,1.760000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,-0.001000,0.000000,0.021000,FlatInitial,ResetForward,1
06:46:12.603 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-148.828125,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.780000,0.730000,1.760000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,0.000000,-0.002000,0.021000,FlatInitial,ResetForward,1
06:46:12.703 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-81.298828,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.770000,0.730000,1.760000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,0.000000,0.001000,0.014000,FlatInitial,ResetForward,1
06:46:12.803 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,-40.283203,0.000000,-6000.000000,-6000.000000,Speed,Speed,0.770000,0.730000,1.750000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,0.000000,0.000000,-0.102478,0.020355,0.000000,0.001000,0.000000,0.010000,FlatInitial,ResetForward,1
