Time,Robot Mode,Loop Time,Error Status,Error Code,Error Source,Left Motor Output,Left Motor Encoder,Right Motor Output,Right Motor Encoder,Is Level,Is Stalled,Ball Detector Photoeye,Vision Enabled,Vision Teleop Control,Vision Auto Control,Vision Current State,Vision X Output,Vision NavX Error,Vision NavX Target,NavX Connection Status,NavX Displacement X,NavX Displacement Y,NavX Displacement Z,NavX Velocity X,NavX Velocity Y,NavX Velocity Z,NavX Acceleration X,NavX Acceleration Y,NavX Acceleration Z,NavX Pitch,NavX Yaw,NavX Roll,Gyro Angle,Roller Arm State,Roller Arm Actual,Roller Arm Desired,Shooter Arm State,Shooter Arm Actual,Shooter Arm Desired,Shooter State,Actual RPM Left,Desired RPM Left,Control Mode Left,Actual RPM Right,Desired RPM Right,Control Mode Right,Ball Shooter Cylinder,Ball Halo Cylinder,Scaler Motor Output,Scaler Solenoid Fire,Auto To Run,Auto Current File,Auto File Status,Auto Current Command,Auto Trimmed Command,Shooter Amps Left,Shooter Amps Right, Vision After Offset
10:17:20.725 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.331253,-0.164764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.004000,1.860000,0.070000,0.060000,-0.091324,ResetBack,0.031494,-0.000049,ResetBack,-9478.000000,-0.250000,Suck,0.000000,1818.181818,Speed,0.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:20.825 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.331253,-0.164764,0.000000,0.000000,0.000000,0.000000,0.005000,-0.002000,-0.007000,1.860000,0.070000,0.060000,-0.106213,ResetBack,-0.046387,-0.000049,ResetBack,-9198.000000,-0.250000,Suck,-7.500000,1818.181818,Speed,-15.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:20.926 AM 04/28/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.330383,-0.165451,0.000000,0.038757,-0.027725,0.000000,0.006000,0.016000,-0.005000,1.820000,0.060000,0.150000,-0.121777,ResetBack,-0.046387,-0.000049,ResetBack,-3309.000000,-0.250000,Suck,-352.500000,1818.181818,Speed,-150.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.026 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.328018,-0.165176,0.000000,0.053558,0.012817,0.000000,0.032000,-0.040000,-0.019000,1.840000,0.060000,0.130000,-0.139303,ResetBack,-0.046631,-0.000049,ResetBack,-3309.000000,-0.250000,Suck,-885.000000,1818.181818,Speed,-210.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.127 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.324646,-0.164963,0.000000,0.071609,0.005280,0.000000,-0.045000,-0.023000,-0.084000,1.840000,0.050000,0.120000,-0.147992,Reset,-0.047852,0.000000,ResetBack,-754.000000,-0.250000,Suck,-1350.000000,1818.181818,Speed,-937.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.230 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.320831,-0.164780,0.000000,0.065887,0.000000,0.000000,-0.052000,0.015000,0.035000,1.820000,0.050000,0.120000,-0.141338,Hold,0.062744,0.000000,ResetBack,-676.000000,-0.250000,Suck,-1695.000000,1818.181818,Speed,-1620.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.334 AM 04/28/2016,Teleop Enabled,12,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.318420,-0.165253,0.000000,0.038040,-0.023651,0.000000,-0.053000,0.005000,-0.037000,1.830000,0.050000,0.100000,-0.142580,Hold,0.062744,0.000000,ResetBack,-140.000000,-0.250000,Suck,-1807.500000,1818.181818,Speed,-1882.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.432 AM 04/28/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.316635,-0.165298,0.000000,0.035477,-0.003067,0.000000,-0.072000,0.042000,-0.004000,1.820000,0.050000,0.100000,-0.142580,Hold,0.062744,0.000000,ResetBack,612.000000,-0.250000,Suck,-1807.500000,1818.181818,Speed,-1860.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.534 AM 04/28/2016,Teleop Enabled,9,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.315430,-0.165344,0.000000,0.017044,-0.016068,0.000000,-0.040000,0.039000,-0.009000,1.830000,0.040000,0.080000,-0.145968,Hold,0.062744,0.000000,ResetBack,1763.000000,-0.250000,Suck,-1747.500000,1818.181818,Speed,-1785.000000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
10:17:21.640 AM 04/28/2016,Teleop Enabled,10,FALSE,0,NO ERROR,-0.000000,0.000000,-0.000000,0.000000,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Disabled,0.000000,0.000000,0.000000,TRUE,-0.315521,-0.165726,0.000000,-0.002304,0.001205,0.000000,0.033000,-0.109000,-0.075000,1.820000,0.040000,0.100000,-0.142846,Hold,0.062744,0.000000,ResetBack,3317.000000,-0.250000,Suck,-1717.500000,1818.181818,Speed,-1717.500000,1818.181818,Speed,Off,On,0.000000,FALSE,0,,,,,0.000000,0.000000,-0.050000
